movie,return_ratio,year,tconst,genres,studio,averagerating,numvotes
Finding Dory,6.53755377,2016,tt2277860,Animation,BV,7.3,213542
Finding Dory,6.53755377,2016,tt2277860,Comedy,BV,7.3,213542
Toy Story 3,6.41942201,2010,tt0435761,Adventure,BV,8.3,682218
Toy Story 3,6.41942201,2010,tt0435761,Animation,BV,8.3,682218
Toy Story 3,6.41942201,2010,tt0435761,Comedy,BV,8.3,682218
Skyfall,6.07443629,2012,tt1074638,Action,Sony,7.8,592221
Skyfall,6.07443629,2012,tt1074638,Adventure,Sony,7.8,592221
Skyfall,6.07443629,2012,tt1074638,Thriller,Sony,7.8,592221
Monsters University,4.06038329,2013,tt1453405,Adventure,BV,7.3,291887
Monsters University,4.06038329,2013,tt1453405,Animation,BV,7.3,291887
Monsters University,4.06038329,2013,tt1453405,Comedy,BV,7.3,291887
X-Men: Days of Future Past,3.908921545,2014,tt1877832,Action,Fox,8.0,620079
X-Men: Days of Future Past,3.908921545,2014,tt1877832,Adventure,Fox,8.0,620079
X-Men: Days of Future Past,3.908921545,2014,tt1877832,Sci-Fi,Fox,8.0,620079
The Amazing Spider-Man 2,3.559251345,2014,tt1872181,Action,Sony,6.6,388363
The Amazing Spider-Man 2,3.559251345,2014,tt1872181,Adventure,Sony,6.6,388363
The Amazing Spider-Man 2,3.559251345,2014,tt1872181,Sci-Fi,Sony,6.6,388363
Cars 2,2.75803129,2011,tt1216475,Adventure,BV,6.2,138914
Cars 2,2.75803129,2011,tt1216475,Animation,BV,6.2,138914
Cars 2,2.75803129,2011,tt1216475,Comedy,BV,6.2,138914
Fantastic Beasts: The Crimes of Grindelwald,3.058879935,2018,tt4123430,Adventure,WB,6.6,163151
Fantastic Beasts: The Crimes of Grindelwald,3.058879935,2018,tt4123430,Family,WB,6.6,163151
Fantastic Beasts: The Crimes of Grindelwald,3.058879935,2018,tt4123430,Fantasy,WB,6.6,163151
Green Lantern,0.68068332,2011,tt1133985,Action,WB,5.5,252281
Green Lantern,0.68068332,2011,tt1133985,Adventure,WB,5.5,252281
Green Lantern,0.68068332,2011,tt1133985,Sci-Fi,WB,5.5,252281
