title,year,popularity,vote_average,vote_count
Sex and the City 2,2010,9.986,5.9,809
Four Lions,2010,9.968,7.0,621
When in Rome,2010,9.926,5.9,703
The Bounty Hunter,2010,9.861,5.7,1627
Winter's Bone,2010,9.824,6.9,931
Waiting for Forever,2010,9.819,5.7,172
My Soul to Take,2010,9.808,5.4,247
A Nightmare on Elm Street,2010,9.795,5.5,1408
Flipped,2010,9.781,7.4,859
Let Me In,2010,9.716,6.7,1061
Unthinkable,2010,9.693,6.7,623
Frozen,2010,9.678,5.8,987
Smokin' Aces 2: Assassins' Ball,2010,9.565,5.4,141
Enter the Void,2010,9.563,7.3,773
Bereavement,2010,9.55,5.3,71
Inside Job,2010,9.514,7.8,466
Mother's Day,2010,9.496,6.4,193
Carrie,1976,9.467,7.1,1766
Charlie St. Cloud,2010,9.454,6.9,1398
Furry Vengeance,2010,9.45,4.6,283
Casino Jack,2010,9.432,6.1,149
Starstruck,2010,9.406,6.7,627
Beauty & the Briefcase,2010,9.405,5.5,250
After.Life,2009,9.395,5.7,416
Another Year,2010,9.394,7.0,150
Letters to Juliet,2010,9.394,6.9,1706
Rabbit Hole,2010,9.389,6.8,292
Wild Target,2010,9.355,6.4,356
The Last Exorcism,2010,9.35,5.6,519
The Experiment,2010,9.261,6.5,553
Animals United,2010,9.258,5.4,151
Bitch Slap,2010,9.253,4.7,148
Heartbreaker,2010,9.241,6.6,761
The Last Song,2010,9.237,7.2,2199
Welcome to the South,2010,9.188,6.7,1071
Tucker and Dale vs. Evil,2010,9.159,7.3,1427
Yogi Bear,2010,9.096,5.3,387
The Disappearance of Alice Creed,2010,9.087,6.6,280
You Don't Know Jack,2010,9.071,7.0,176
Secretariat,2010,9.059,7.0,200
The American,2010,9.042,5.8,690
Blue Valentine,2010,8.994,6.9,1677
Vampires Suck,2010,8.992,4.1,658
Incendies,2010,8.973,8.1,1034
Takers,2010,8.969,6.2,605
"Family Guy Presents: Something, Something, Something, Dark Side",2010,8.956,7.1,194
Superman/Batman: Apocalypse,2010,8.884,7.0,291
Skyline,2010,8.847,4.8,833
Cop Out,2010,8.82,5.4,796
Chloe,2010,8.807,5.9,940
Stake Land,2010,8.799,6.2,415
Fortress of War,2010,8.769,7.3,75
Cave of Forgotten Dreams,2010,8.762,7.3,143
The Descent: Part 2,2010,8.741,6.0,480
Titanic 2,2010,8.729,3.2,90
Dante's Inferno: An Animated Epic,2010,8.711,6.0,102
22 Bullets,2010,8.697,6.5,508
Exit Through the Gift Shop,2010,8.696,7.7,467
Room in Rome,2010,8.682,6.1,236
Burlesque,2010,8.676,7.1,1195
Elektra Luxx,2010,8.595,4.9,74
Cold Fish,2010,8.582,6.6,113
We Are the Night,2010,8.57,6.2,129
Elena Undone,2010,8.531,7.2,81
The Final,2010,8.517,5.6,131
Hatchet II,2010,8.513,5.5,160
Louis C.K.: Hilarious,2010,8.504,8.0,127
Ca$h,2010,8.503,5.8,112
Marmaduke,2010,8.487,5.1,367
Get Him to the Greek,2010,8.485,5.9,980
Womb,2010,8.483,6.1,159
London Boulevard,2010,8.469,5.9,409
Twelve,2010,8.46,5.9,147
Redline,2010,8.436,7.4,110
The Kids Are All Right,2010,8.426,6.6,854
BloodRayne: The Third Reich,2010,8.419,3.7,83
Peacock,2010,8.414,6.1,104
Don't Be Afraid of the Dark,2010,8.405,5.5,550
The Illusionist,2010,8.404,7.4,280
Stone,2010,8.401,5.2,334
Welcome to the Rileys,2010,8.348,6.5,241
Rubber,2010,8.319,5.9,417
Bunraku,2010,8.282,5.9,161
Going the Distance,2010,8.281,6.0,394
Julia's Eyes,2010,8.268,6.7,415
The Warrior's Way,2010,8.259,6.1,203
Last Night,2010,8.244,6.1,444
Get Low,2010,8.215,6.7,135
Loose Cannons,2010,8.202,7.4,310
The Runaways,2010,8.19,6.4,448
Bloomington,2010,8.176,6.6,65
Paranormal Activity 2,2010,8.163,5.7,1342
Tom and Jerry Meet Sherlock Holmes,2010,8.142,6.6,19
Mesrine: Killer Instinct,2010,8.131,7.4,434
Mega Shark vs. Crocosaurus,2010,8.129,2.7,60
Metropia,2010,8.113,6.3,82
The Company Men,2010,8.109,6.6,349
Alpha and Omega,2010,8.108,5.4,227
Avalon High,2010,8.098,6.1,313
30 Days of Night: Dark Days,2010,8.086,4.7,218
Minions: Orientation Day,2010,8.053,6.9,117
Planet Hulk,2010,8.053,6.7,185
13,2010,8.007,5.7,392
Survival of the Dead,2010,7.964,4.8,199
The Solitude of Prime Numbers,2010,7.959,5.8,218
14 Blades,2010,7.948,6.6,87
Barbie: A Fashion Fairytale,2010,7.947,6.8,228
Sharktopus,2010,7.943,4.4,69
Burning Bright,2010,7.938,6.0,113
Hereafter,2010,7.886,5.9,848
All Good Things,2010,7.871,6.0,493
Defendor,2010,7.863,6.4,295
The Dead,2010,7.841,5.7,89
Day & Night,2010,7.835,7.7,438
Dabangg,2010,7.831,6.2,73
The Ghost Writer,2010,7.829,6.8,1135
Inhale,2010,7.826,6.1,63
Le Mac,2010,7.825,5.7,144
Derailed,2005,7.814,6.2,500
She's Out of My League,2010,7.775,6.1,970
Triangle,2010,7.761,6.8,1094
Boy,2012,7.759,7.5,149
All That Glitters,2010,7.756,6.4,456
The Switch,2010,7.745,6.1,1008
Cyrus,2010,7.735,6.0,201
The Perfect Date,2010,7.701,5.6,118
Mesrine: Public Enemy #1,2010,7.7,7.4,404
Lottery Ticket,2010,7.699,5.7,92
Biutiful,2010,7.697,7.2,546
The Red Baron,2010,7.676,6.5,111
The Romantics,2010,7.676,4.9,145
MacGruber,2010,7.666,5.3,270
Mirrors 2,2010,7.663,5.5,182
Kill Theory,2010,7.663,5.3,58
Reign of Assassins,2010,7.621,6.8,87
My Name Is Khan,2010,7.619,7.8,409
King of Devil's Island,2010,7.616,7.3,96
Little Big Soldier,2010,7.607,6.8,123
Somewhere,2010,7.596,6.1,376
Greenberg,2010,7.57,5.9,280
Country Strong,2010,7.567,6.3,126
The Nutcracker in 3D,2010,7.566,5.5,97
Oceans,2010,7.532,7.2,167
Conviction,2010,7.51,7.2,297
The Way Back,2010,7.503,6.9,759
The Search for Santa Paws,2010,7.452,5.9,85
Ramona and Beezus,2010,7.442,6.3,460
Student Services,2010,7.394,4.8,67
The Client List,2010,7.382,5.6,108
Prayers for Bobby,2009,7.372,7.9,220
Castaway on the Moon,2010,7.368,8.1,259
Tamara Drewe,2010,7.364,5.8,226
Barney's Version,2011,7.357,7.2,210
Meek's Cutoff,2010,7.309,6.5,113
Kidnapped,2010,7.297,6.3,98
Growth,2010,7.28,5.2,33
Made in Dagenham,2010,7.275,6.6,150
Donkey's Christmas Shrektacular,2010,7.265,5.3,70
Revenge of the Bridesmaids,2010,7.216,6.3,165
The Lost Future,2010,7.188,5.0,79
Catfish,2010,7.172,6.8,284
The Drawn Together Movie: The Movie!,2010,7.171,6.4,54
Triage,2010,7.155,6.5,82
The Tortured,2010,7.148,5.3,77
Kevin Hart: Seriously Funny,2010,7.146,7.3,89
Hesher,2010,7.14,7.0,335
Howl,2010,7.12,6.8,100
Restrepo,2010,7.119,7.5,188
Banana,2010,7.118,7.1,178
Lying to Be Perfect,2010,7.108,6.1,85
Nowhere Boy,2010,7.099,7.3,469
Red White & Blue,2010,7.09,6.2,64
The Killer Inside Me,2010,7.087,5.9,304
Cemetery Man,1996,7.078,7.1,192
Scooby-Doo! Camp Scare,2010,7.048,7.2,52
Just Wright,2010,7.047,6.2,211
LEGO: The Adventures of Clutch Powers,2010,7.039,5.5,41
Nothing to Declare,2010,6.978,5.8,602
Harriet the Spy: Blog Wars,2010,6.896,4.7,127
Temple Grandin,2010,6.875,7.8,173
Red Riding: In the Year of Our Lord 1974,2010,6.871,6.8,99
Across the Line: The Exodus of Charlie Wright,2010,6.863,5.9,19
Death at a Funeral,2010,6.862,5.7,439
The Rig,2010,6.856,3.7,39
Shanghai,2010,6.824,6.1,80
Space Chimps 2: Zartog Strikes Back,2010,6.792,4.6,50
How Do You Know,2010,6.753,5.1,453
Confucius,2010,6.706,5.9,45
Triassic Attack,2010,6.706,3.2,22
Tiny Furniture,2010,6.695,5.9,82
Stomp the Yard 2: Homecoming,2010,6.684,4.7,48
Scared Shrekless,2010,6.682,6.2,177
What Men Talk About,2010,6.675,7.7,71
Happythankyoumoreplease,2010,6.645,6.5,148
Why Did I Get Married Too?,2010,6.636,5.9,49
YellowBrickRoad,2010,6.635,4.9,75
Dinner for Schmucks,2010,6.632,5.6,920
Sundays at Tiffany's,2010,6.629,6.5,43
And Soon the Darkness,2010,6.606,5.2,197
Firebreather,2010,6.591,6.2,33
Crazy on the Outside,2010,6.579,5.4,48
Carlos,2010,6.568,7.0,87
Free Willy: Escape from Pirate's Cove,2010,6.568,5.2,61
