id,movie,production_budget,domestic_gross,worldwide_gross,year,month,return_ratio
73,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,November,1.4365768373333334
74,Iron Man,186000000.0,318604126.0,585171547.0,2008,May,3.859008994623656
75,The Dark Knight,185000000.0,533720947.0,1001996207.0,2008,July,7.301173805405406
76,Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,317101119.0,786635413.0,2008,May,4.966143416216216
77,Brave,185000000.0,237282182.0,554606532.0,2012,June,3.280479535135135
78,Kong: Skull Island,185000000.0,168052812.0,561072059.0,2017,March,2.941215518918919
79,Star Trek Beyond,185000000.0,158848340.0,335802233.0,2016,July,1.673786881081081
80,Blade Runner 2049,185000000.0,92054159.0,259357408.0,2017,October,0.8995219837837838
81,Aladdin,182000000.0,246734314.0,619234314.0,2019,May,3.7580693846153848
82,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,2017,November,5.455768405555555
83,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.0,291710957.0,720539572.0,2005,December,4.62361405
84,Maleficent,180000000.0,241407328.0,758536735.0,2014,May,4.5552447944444445
85,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,2016,November,4.758002377777777
86,WALL-E,180000000.0,223808164.0,532508025.0,2008,June,3.2017566055555555
87,Rush Hour 3,180000000.0,140125968.0,256585882.0,2007,August,1.2039547222222222
88,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,2016,July,1.6419171444444445
89,Hugo,180000000.0,73864507.0,180047784.0,2011,November,0.41062383888888887
90,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,2017,July,0.4198762555555556
91,Jupiter Ascending,179000000.0,47482519.0,181982519.0,2015,February,0.28192758659217876
92,Mission: ImpossibleâFallout,178000000.0,220159104.0,787456552.0,2018,July,4.66076211235955
93,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,2016,May,2.921236151685393
94,The Meg,178000000.0,145443742.0,529530715.0,2018,August,2.7919913314606744
95,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,2014,June,1.6446489438202248
96,Captain Marvel,175000000.0,426525952.0,1123061550.0,2019,March,7.854785725714286
97,The Jungle Book,175000000.0,364001123.0,962854547.0,2016,April,6.5820324
98,Inside Out,175000000.0,356461711.0,854235992.0,2015,June,5.918272588571429
99,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,2017,July,5.9392428
100,Suicide Squad,175000000.0,325100054.0,746059887.0,2016,August,5.120913948571428
1,Up,175000000.0,293004164.0,731463377.0,2009,May,4.854100234285714
2,Coco,175000000.0,209726015.0,798008101.0,2017,November,4.758480662857143
3,Ralph Breaks The Internet,175000000.0,201091711.0,524283695.0,2018,November,3.14500232
4,Monsters vs. Aliens,175000000.0,198351526.0,381687380.0,2009,March,2.3145080342857143
5,Cars 3,175000000.0,152901115.0,383541369.0,2017,June,2.0653856228571428
6,G.I. Joe: The Rise of Cobra,175000000.0,150201498.0,302469017.0,2009,August,1.5866886571428571
7,Wild Wild West,175000000.0,113805681.0,221229335.0,1999,June,0.9144858057142857
8,The Mummy: Tomb of the Dragon Emperor,175000000.0,102491776.0,405760225.0,2008,August,1.9042971485714286
9,Evan Almighty,175000000.0,100289690.0,174131329.0,2007,June,0.5681201085714286
10,Waterworld,175000000.0,88246220.0,264246220.0,1995,July,1.0142425142857143
11,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,2017,May,0.021745154285714285
12,47 Ronin,175000000.0,38362475.0,151716815.0,2013,December,0.08616737142857143
13,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,2018,June,9.13819152352941
14,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,2014,August,5.494350752941177
15,Iron Man 2,170000000.0,312433331.0,621156389.0,2010,May,4.491704235294118
16,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,2014,April,4.7302873352941175
17,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,2014,July,4.4070009117647055
18,The Polar Express,170000000.0,187224605.0,311365187.0,2004,November,1.9328811294117647
19,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,2012,June,2.271520594117647
20,Terminator 3: Rise of the Machines,170000000.0,150358296.0,433058296.0,2003,July,2.431862305882353
21,Van Helsing,170000000.0,120150546.0,300150546.0,2004,May,1.4723593647058824
22,Dumbo,170000000.0,113883318.0,345004422.0,2019,March,1.6993396470588236
23,Tomorrowland,170000000.0,93436322.0,206627518.0,2015,May,0.7650814117647059
24,Alita: Battle Angel,170000000.0,85710210.0,402976036.0,2019,February,1.8746249764705882
25,Godzilla: King of the Monsters,170000000.0,85576941.0,299276941.0,2019,May,1.2638463647058824
26,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,2016,May,1.0821793705882352
27,Shrek Forever After,165000000.0,238736787.0,756244673.0,2010,May,5.030190666666667
