movie,return_ratio,year,tconst,genres,studio
Jurassic World: Fallen Kingdom,9.13819152352941,2018,tt4881806,"Action,Adventure,Sci-Fi",Uni.
Guardians of the Galaxy,5.494350752941177,2014,tt2015381,"Action,Adventure,Comedy",BV
Iron Man 2,4.491704235294118,2010,tt1228705,"Action,Adventure,Sci-Fi",Par.
Captain America: The Winter Soldier,4.7302873352941175,2014,tt1843866,"Action,Adventure,Sci-Fi",BV
Dawn of the Planet of the Apes,4.4070009117647055,2014,tt2103281,"Action,Adventure,Drama",Fox
Snow White and the Huntsman,2.271520594117647,2012,tt1735898,"Action,Adventure,Drama",Uni.
Tomorrowland,0.7650814117647059,2015,tt1964418,"Action,Adventure,Family",BV
Alice Through the Looking Glass,1.0821793705882352,2016,tt2567026,"Adventure,Family,Fantasy",BV
Shrek Forever After,5.030190666666667,2010,tt0892791,"Adventure,Animation,Comedy",P/DW
Doctor Strange,4.509372642424243,2016,tt1211837,"Action,Adventure,Fantasy",BV
Big Hero 6,4.30094336969697,2014,tt2245084,"Action,Adventure,Animation",BV
How to Train Your Dragon,3.3178922666666666,2010,tt0892769,"Action,Adventure,Animation",P/DW
Wreck-It Ralph,3.1571163515151515,2012,tt1772341,"Adventure,Animation,Comedy",BV
Interstellar,4.178165266666666,2014,tt0816692,"Adventure,Drama,Sci-Fi",Par.
Independence Day: Resurgence,1.9534164242424243,2016,tt1628841,"Action,Adventure,Sci-Fi",Fox
Aquaman,8.26222779375,2018,tt1477834,"Action,Adventure,Fantasy",WB
Inception,6.05063023125,2010,tt1375666,"Action,Adventure,Sci-Fi",WB
The Hunger Games: Mockingjay - Part 2,4.81694180625,2015,tt1951266,"Action,Adventure,Sci-Fi",LGF
The Sorcerer's Apprentice,0.75710819375,2010,tt0963966,"Action,Adventure,Family",BV
Warcraft,1.9546746,2016,tt0803096,"Action,Adventure,Fantasy",Uni.
Deepwater Horizon,0.17972660897435896,2016,tt1860357,"Action,Drama,History",LG/S
The Chronicles of Narnia: The Voyage of the Dawn Treader,2.3714445161290323,2010,tt0980970,"Adventure,Family,Fantasy",Fox
War for the Planet of the Apes,3.1873186118421053,2017,tt3450958,"Action,Adventure,Drama",Fox
Wonder Woman,7.22464524,2017,tt0451279,"Action,Adventure,Fantasy",WB
Frozen,10.15471946,2013,tt2294629,"Adventure,Animation,Comedy",BV
Zootopia,8.071319093333333,2016,tt2948356,"Adventure,Animation,Comedy",BV
Moana,4.90849606,2016,tt3521164,"Adventure,Animation,Comedy",BV
Thor: The Dark World,4.673097706666667,2013,tt1981115,"Action,Adventure,Fantasy",BV
Dunkirk,3.5993709866666665,2017,tt5013056,"Action,Drama,History",WB
Thor,3.2023816133333334,2011,tt0800369,"Action,Adventure,Fantasy",Par.
Kung Fu Panda 2,4.533910733333333,2011,tt1302011,"Action,Adventure,Animation",P/DW
Mad Max: Fury Road,2.4915624933333334,2015,tt1392190,"Action,Adventure,Sci-Fi",WB
Ready Player One,3.77986872,2018,tt1677720,"Action,Adventure,Sci-Fi",WB
The Last Airbender,2.00990712,2010,tt0938283,"Action,Adventure,Family",Par.
Wrath of the Titans,1.59293444,2012,tt1646987,"Action,Adventure,Fantasy",WB
Dark Shadows,1.1195321133333334,2012,tt1077368,"Comedy,Fantasy,Horror",WB
White House Down,0.85696114,2013,tt2334879,"Action,Drama,Thriller",Sony
The Wolfman,0.36549494666666665,2010,tt0780653,"Drama,Fantasy,Horror",Uni.
The Great Wall,1.5309597133333332,2017,tt7535780,Documentary,Uni.
Pan,0.24409528666666666,2015,tt3332064,"Adventure,Comedy,Family",WB
Mars Needs Moms,-0.59371656,2011,tt1305591,"Adventure,Animation,Family",BV
Madagascar 3: Europe's Most Wanted,5.643536227586207,2012,tt1277953,"Adventure,Animation,Comedy",P/DW
How to Train Your Dragon 2,4.459235820689655,2014,tt1646971,"Action,Adventure,Animation",Fox
Mr. Peabody & Sherman,1.6297438620689655,2014,tt0864835,"Adventure,Animation,Comedy",Fox
