movie,return_ratio,year,tconst,genres,studio
The Adjustment Bureau,2.7734456175298803,2011,tt1385826,"Romance,Sci-Fi,Thriller",Uni.
Ted,14.49364734,2012,tt1637725,"Comedy,Fantasy",Uni.
22 Jump Street,9.46106426,2014,tt2294449,"Action,Comedy,Crime",Sony
Central Intelligence,5.89271352,2016,tt1489889,"Action,Comedy,Crime",WB (NL)
Anchorman 2: The Legend Continues,4.99076922,2013,tt1229340,Comedy,Par.
Super 8,6.69953848,2011,tt1650062,"Mystery,Sci-Fi,Thriller",Par.
Creed II,5.58614822,2018,tt6343314,"Drama,Sport",MGM
Peter Rabbit,8.2474114,2018,tt5117670,"Adventure,Animation,Comedy",Sony
The Mule,4.49324166,2018,tt7959026,"Crime,Drama,Thriller",WB
Non-Stop,5.2825043,2014,tt2024469,"Action,Mystery,Thriller",Uni.
The Emoji Movie,5.0530365,2017,tt4877122,"Adventure,Animation,Comedy",Sony
The Post,4.23304676,2017,tt6294822,"Biography,Drama,History",Fox
We Bought a Zoo,2.88707246,2011,tt1389137,"Comedy,Drama,Family",Fox
Moneyball,2.73812654,2011,tt1210166,"Biography,Drama,Sport",Sony
American Reunion,4.87116092,2012,tt1605630,Comedy,Uni.
American Made,2.73822424,2017,tt3532216,"Action,Biography,Comedy",Uni.
The Judge,1.46477552,2014,tt1872194,"Crime,Drama",WB
War Dogs,1.58538052,2016,tt2005151,"Comedy,Crime,Drama",WB
The Nice Guys,0.9171702,2016,tt3799694,"Action,Comedy,Crime",WB
Marmaduke,1.47081436,2010,tt1392197,"Comedy,Family",Fox
Hereafter,1.82814422,2010,tt1212419,"Drama,Fantasy,Romance",WB
Zoolander 2,0.68394772,2016,tt1608290,Comedy,Par.
Run All Night,0.86846576,2015,tt2199571,"Action,Drama,Thriller",WB
Your Highness,-0.04563834,2011,tt1240982,"Adventure,Comedy,Fantasy",Uni.
Snowden,0.13936874,2016,tt3774114,"Biography,Drama,Thriller",ORF
Dream House,0.25889012,2011,tt1462041,"Drama,Mystery,Thriller",Uni.
Free State of Jones,-0.11905424,2016,tt1124037,"Action,Biography,Drama",STX
Drive Angry,0.03527232,2011,tt1502404,"Action,Fantasy,Thriller",Sum.
Early Man,0.07106868,2018,tt4701724,"Adventure,Animation,Comedy",LGF
Child 44,-0.81542898,2015,tt1014763,"Crime,Drama,History",LG/S
Chappie,1.7871698775510203,2015,tt1823672,"Action,Crime,Drama",Sony
Anna Karenina,0.7106325306122449,2012,tt1781769,"Drama,Romance",Focus
Instant Family,2.8979046875,2018,tt7401588,"Comedy,Drama",Par.
Tooth Fairy,2.596513375,2010,tt0808510,"Comedy,Family,Fantasy",Fox
The Infiltrator,-0.23884395789473684,2016,tt1355631,"Biography,Crime,Drama",BG
Arrival,5.461149638297872,2016,tt2543164,"Drama,Mystery,Sci-Fi",Par.
Jonah Hex,-0.5410678085106383,2010,tt1075747,"Action,Drama,Fantasy",WB
Prisoners,2.7914044347826086,2013,tt1392214,"Crime,Drama,Mystery",WB
Taken 2,10.503593133333334,2012,tt1397280,"Action,Thriller",Fox
Pitch Perfect 3,5.4585320444444445,2017,tt4765284,"Comedy,Music",Uni.
The Muppets,4.5466187555555555,2011,tt1204342,"Adventure,Comedy,Family",BV
The Bounty Hunter,3.508223666666667,2010,tt1038919,"Action,Comedy,Romance",Sony
Office Christmas Party,2.2464620666666666,2016,tt1711525,Comedy,Par.
Blended,2.872921822222222,2014,tt1086772,"Comedy,Romance",WB
All Eyez on Me,1.2177590444444444,2017,tt1666185,"Biography,Drama,Music",LG/S
The Ghost Writer,0.8016453333333333,2010,tt1139328,"Drama,Mystery,Thriller",Sum.
Dredd,0.21960711111111111,2012,tt1343727,"Action,Crime,Sci-Fi",LGF
The Rum Diary,-0.22989895555555556,2011,tt0376136,"Comedy,Drama",FD
Welcome to Marwen,-0.4747012888888889,2018,tt3289724,"Biography,Comedy,Drama",Uni.
Johnny English Reborn,2.845491377777778,2011,tt1634122,"Action,Adventure,Comedy",Uni.
Argo,7.161039550561798,2012,tt1024648,"Biography,Drama,Thriller",WB
Charlie St. Cloud,0.8110078863636364,2010,tt1438254,"Drama,Fantasy,Romance",Uni.
The Heat,8.053706069767442,2013,tt2404463,"Action,Comedy,Crime",Fox
The Mechanic,1.4816209647058824,2011,tt0472399,"Action,Crime,Thriller",CBS
21 Jump Street,7.1252403809523805,2012,tt1232829,"Action,Comedy,Crime",Sony
Snatched,1.4691513095238096,2017,tt2334871,"Action,Adventure,Comedy",Fox
Here Comes the Boom,1.8221327619047618,2012,tt1648179,"Action,Comedy,Sport",Sony
Red Riding Hood,2.0795381904761903,2011,tt1486185,"Fantasy,Horror,Mystery",WB
Man on a Ledge,0.6247961904761905,2012,tt1568338,"Action,Adventure,Crime",LG/S
The Warrior's Way,-0.6623651190476191,2010,tt1032751,"Action,Fantasy,Western",Rela.
The Big Year,-0.6368619024390244,2011,tt1053810,Comedy,Fox
The Karate Kid,12.2091639,2010,tt1155076,"Action,Drama,Family",Sony
Fifty Shades of Grey,17.429133275,2015,tt2322441,"Drama,Romance,Thriller",Uni.
American Hustle,9.199902525,2013,tt1800241,"Crime,Drama",Sony
Lucy,13.6020434,2014,tt2872732,"Action,Sci-Fi,Thriller",Uni.
Lone Survivor,5.872505825,2013,tt1091191,"Action,Biography,Drama",Uni.
The Social Network,7.047120725,2010,tt1285016,"Biography,Drama",Sony
Ride Along 2,4.392250025,2016,tt2869728,"Action,Comedy,Crime",Uni.
Get Hard,3.92307265,2015,tt2561572,"Comedy,Crime",WB
The Accountant,4.9805532,2016,tt2140479,"Action,Crime,Drama",WB
Dumb and Dumber To,5.06904005,2014,tt2096672,"Adventure,Comedy",Uni.
The Intern,5.82200955,2015,tt2361509,"Comedy,Drama",WB
Bridge of Spies,4.8703023,2015,tt3682448,"Drama,History,Thriller",BV
Hacksaw Ridge,4.902857425,2016,tt2119532,"Biography,Drama,History",LGF
Unknown,3.995237,2011,tt1401152,"Action,Mystery,Thriller",WB
Get Him to the Greek,2.815235025,2010,tt1226229,"Adventure,Comedy,Music",Uni.
The Lincoln Lawyer,2.62885715,2011,tt1189340,"Crime,Drama,Thriller",LGF
Horrible Bosses 2,3.00976785,2014,tt2170439,"Comedy,Crime",WB
Predators,3.480876925,2010,tt1424381,"Action,Adventure,Sci-Fi",Fox
The Odd Life of Timothy Green,1.677565225,2012,tt1462769,"Comedy,Drama,Family",BV
Jersey Boys,1.808243625,2014,tt1742044,"Biography,Drama,Music",WB
Final Destination 5,3.9399702,2011,tt1622979,Horror,WB (NL)
Widows,1.906718,2018,tt4218572,"Crime,Drama,Thriller",Fox
Sex Tape,3.11532455,2014,tt1956620,"Comedy,Romance",Sony
Scream 4,2.35426295,2011,tt1262416,"Horror,Mystery",W/Dim.
Paul,2.464376275,2011,tt1092026,"Adventure,Comedy,Sci-Fi",Uni.
The Guilt Trip,0.960722225,2012,tt1694020,"Comedy,Drama",Par.
Colombiana,1.7240279,2011,tt1657507,"Action,Drama,Thriller",TriS
The Commuter,2.458232225,2018,tt1590193,"Action,Mystery,Thriller",LGF
Patriots Day,1.11810875,2016,tt4572514,"Action,Crime,Drama",LGF
Morning Glory,1.27017005,2010,tt1126618,"Comedy,Drama,Romance",Par.
Grudge Match,1.490363,2013,tt1661382,"Comedy,Drama,Sport",WB
The Nut Job 2: Nutty by Nature,1.145222775,2017,tt3486626,"Adventure,Animation,Comedy",ORF
The House,0.419423225,2017,tt4481514,"Comedy,Crime",WB (NL)
Season of the Witch,1.8988457,2011,tt0479997,"Action,Adventure,Fantasy",Rela.
Mechanic: Resurrection,2.273931075,2016,tt3522806,"Action,Adventure,Thriller",LG/S
Big Miracle,0.1356495,2012,tt1430615,"Biography,Drama,Family",Uni.
A Thousand Words,-0.018984675,2012,tt0763831,"Comedy,Drama",P/DW
The Gunman,-0.2685256,2015,tt2515034,"Action,Crime,Drama",ORF
Paranoia,-0.406764475,2013,tt1413495,"Drama,Thriller",Rela.
The Hurricane Heist,-0.0730123,2018,tt5360952,"Action,Adventure,Crime",ENTMP
Victor Frankenstein,-0.077513925,2015,tt1976009,"Drama,Horror,Sci-Fi",Fox
Frankenweenie,1.9856045128205129,2012,tt1142977,"Animation,Comedy,Family",BV
Captain Underpants: The First Epic Movie,4.276286157894737,2017,tt2091256,"Action,Animation,Comedy",Fox
Paul Blart: Mall Cop 2,3.7037431578947366,2015,tt3450650,"Action,Comedy,Crime",Sony
Why Him?,3.677603736842105,2016,tt4501244,Comedy,Fox
Water for Elephants,3.6189324736842106,2011,tt1067583,"Drama,Romance",Fox
Life as We Know It,3.1911188947368423,2010,tt1055292,"Comedy,Drama,Romance",WB
Riddick,2.599707710526316,2013,tt1411250,"Action,Adventure,Sci-Fi",Uni.
The 5th Wave,2.8486678947368422,2016,tt2304933,"Action,Adventure,Drama",Sony
What to Expect When You're Expecting,2.4566725066666666,2012,tt1586265,"Comedy,Drama,Romance",LGF
The Master,0.7838553333333333,2012,tt1560747,Drama,Wein.
We're the Millers,10.302983648648649,2013,tt1723121,"Comedy,Crime",WB (NL)
Creed,6.657707081081081,2015,tt3076658,"Drama,Sport",WB (NL)
The Town,5.614949810810811,2010,tt0840361,"Crime,Drama,Thriller",WB
Dolphin Tale,3.5501487297297296,2011,tt1564349,"Drama,Family",WB
Game Night,4.042085135135135,2018,tt2704998,"Action,Comedy,Crime",WB (NL)
Cop Out,1.7239294864864865,2010,tt1385867,"Action,Comedy,Crime",WB
The Rite,2.5186924324324322,2011,tt1161864,"Drama,Horror,Mystery",WB (NL)
Aloha,0.2551113783783784,2015,tt1243974,"Comedy,Drama,Romance",Sony
Hot Tub Time Machine,2.2288224722222223,2010,tt1231587,"Comedy,Sci-Fi",MGM
Dolphin Tale 2,1.7735851666666667,2014,tt2978462,"Drama,Family",WB
Collateral Beauty,2.231253166666667,2016,tt4682786,"Drama,Romance",WB (NL)
There Be Dragons,-0.8586021111111111,2011,tt1316616,"Biography,Drama,War",Gold.
It,28.283991914285714,2017,tt1396484,"Horror,Thriller",WB (NL)
True Grit,11.100569514285715,2010,tt1403865,"Adventure,Drama,Western",Par.
Identity Thief,7.853385657142857,2013,tt2024432,"Adventure,Comedy,Crime",Uni.
Horrible Bosses,8.427318857142858,2011,tt1499658,"Comedy,Crime",WB (NL)
Trainwreck,6.181045628571429,2015,tt3152624,"Comedy,Drama,Romance",Uni.
Saving Mr. Banks,4.664636742857143,2013,tt2140373,"Biography,Comedy,Drama",BV
Secretariat,2.430736,2010,tt1028576,"Biography,Drama,Family",BV
Friends with Benefits,4.782818428571429,2011,tt1632708,"Comedy,Romance",SGem
Neighbors 2: Sorority Rising,3.6885243142857145,2016,tt4438848,Comedy,Uni.
Sicario: Day of the Soldado,2.5986013142857143,2018,tt5052474,"Action,Crime,Drama",Sony
Goosebumps 2: Haunted Halloween,2.9996799714285713,2018,tt5664636,"Adventure,Comedy,Family",Sony
12 Strong,2.3410883142857144,2018,tt1413492,"Action,Drama,History",WB
Something Borrowed,1.9751601428571428,2011,tt0491152,"Comedy,Drama,Romance",WB
In Time,4.790225257142857,2011,tt1637688,"Action,Crime,Drama",Fox
J. Edgar,2.4832017142857143,2011,tt1616195,"Biography,Crime,Drama",WB
Mile 22,1.9258251142857143,2018,tt4560436,"Action,Adventure,Thriller",STX
Hot Pursuit,1.2929060857142858,2015,tt2967224,"Action,Comedy,Crime",WB (NL)
The Foreigner,4.005053342857143,2017,tt1615160,"Action,Thriller",STX
Adrift,1.5526343428571427,2018,tt6306064,"Action,Adventure,Biography",STX
Abduction,2.278157542857143,2011,tt1600195,"Action,Mystery,Thriller",LGF
Alex Cross,0.7518620285714286,2012,tt1712170,"Action,Crime,Mystery",LG/S
Whiskey Tango Foxtrot,0.3838308857142857,2016,tt3553442,"Biography,Comedy,Drama",Par.
Hitman: Agent 47,1.9900072285714285,2015,tt2679042,"Action,Adventure,Crime",Fox
Premium Rush,0.47624705714285714,2012,tt1547234,"Action,Crime,Thriller",Sony
Broken City,0.5480345428571428,2013,tt1235522,"Crime,Drama,Thriller",Fox
Furry Vengeance,0.6277326285714285,2010,tt0492389,"Comedy,Family",Sum.
Parker,0.8902865428571428,2013,tt1904996,"Action,Crime,Thriller",FD
The Tree of Life,1.1436426,2011,tt0478304,"Drama,Fantasy",FoxS
Unfinished Business,-0.3304699428571429,2015,tt2358925,"Comedy,Drama",Fox
The Walk,1.0472367714285715,2015,tt3488710,"Adventure,Biography,Drama",TriS
Mandela: Long Walk to Freedom,0.09181391428571428,2013,tt2304771,"Biography,Drama,History",Wein.
The Snowman,0.42562602857142856,2017,tt1758810,"Crime,Drama,Mystery",Uni.
A Hologram for the King,-0.5411856,2016,tt2980210,"Comedy,Drama,Romance",RAtt.
The Darkest Hour,1.421701408045977,2011,tt1093357,"Action,Adventure,Horror",Sum.
Baby Driver,8.8802955,2017,tt3890160,"Action,Crime,Drama",TriS
The Maze Runner,12.257285970588235,2014,tt1790864,"Action,Mystery,Sci-Fi",Fox
The Longest Ride,1.9779130882352942,2015,tt2726560,"Drama,Romance",Fox
The Darkest Minds,0.5016799705882353,2018,tt4073790,"Action,Adventure,Drama",Fox
Mike and Dave Need Wedding Dates,2.6941749393939394,2016,tt2823054,"Adventure,Comedy,Romance",Fox
Step Up Revolution,5.0796050606060605,2012,tt1800741,"Drama,Music,Romance",LG/S
Bridesmaids,13.118268953846155,2011,tt1478338,"Comedy,Romance",Uni.
The Big Wedding,1.1613944307692308,2013,tt1931435,"Comedy,Drama,Romance",LGF
Wanderlust,0.27532581538461537,2012,tt1655460,"Comedy,Romance",Uni.
Takers,3.010374625,2010,tt1135084,"Action,Crime,Thriller",SGem
Source Code,5.0981476875,2011,tt0945513,"Action,Drama,Sci-Fi",Sum.
I Feel Pretty,3.3859186875,2018,tt6791096,"Comedy,Romance",STX
"Big Mommas: Like Father, Like Son",2.75774575,2011,tt1464174,"Action,Comedy,Crime",Fox
The Incredible Burt Wonderstone,0.5603278125,2013,tt0790628,"Adventure,Comedy,Fantasy",WB (NL)
Going the Distance,0.91900903125,2010,tt1322312,"Comedy,Romance",WB (NL)
Repo Men,0.00428890625,2010,tt1053424,"Action,Crime,Sci-Fi",Uni.
Flight,7.2042197741935485,2012,tt1907668,"Drama,Thriller",Par.
The Grand Budapest Hotel,6.195396129032258,2014,tt2278388,"Adventure,Comedy,Crime",FoxS
Vacation,4.199699612903226,2015,tt1524930,"Adventure,Comedy",WB (NL)
Extraordinary Measures,-0.08678306451612904,2010,tt1244659,Drama,CBS
Crazy Rich Asians,12.754421066666668,2018,tt3104988,"Comedy,Romance",WB
The Vow,9.754406333333334,2012,tt1606389,"Drama,Romance",SGem
Sisters,5.4358435,2015,tt1850457,Comedy,Uni.
Looper,6.898420333333333,2012,tt1276104,"Action,Crime,Drama",TriS
Warm Bodies,5.050075666666666,2013,tt1588173,"Comedy,Horror,Romance",LG/S
The Nut Job,5.226050133333334,2014,tt1821658,"Adventure,Animation,Comedy",ORF
Hope Springs,5.554043533333333,2012,tt1535438,"Comedy,Drama,Romance",Sony
Midnight in Paris,6.310647866666667,2011,tt1605783,"Comedy,Fantasy,Romance",SPC
Darkest Hour,5.908343066666666,2017,tt4555426,"Biography,Drama,History",Focus
Life of the Party,2.9606607333333335,2018,tt5619332,Comedy,WB (NL)
Letters to Juliet,3.5060330333333334,2010,tt0892318,"Adventure,Comedy,Drama",Sum.
Southpaw,3.885946966666667,2015,tt1798684,"Drama,Sport",Wein.
Atomic Blonde,3.9973116,2017,tt2406566,"Action,Mystery,Thriller",Focus
Sicario,3.3761014,2015,tt3397884,"Action,Crime,Drama",LGF
Den of Thieves,3.1693004333333334,2018,tt1259528,"Action,Crime,Drama",STX
The Three Stooges,2.2796824333333334,2012,tt0383010,"Comedy,Family",Fox
John Wick,2.9757612,2014,tt2911666,"Action,Crime,Thriller",LG/S
The Age of Adaline,2.7204770666666667,2015,tt1655441,"Drama,Fantasy,Romance",LGF
Hanna,2.5200937666666667,2011,tt0993842,"Action,Drama,Thriller",Focus
The 15:17 to Paris,2.0790828666666665,2018,tt6802308,"Biography,Drama,Thriller",WB
Larry Crowne,2.235246,2011,tt1583420,"Comedy,Drama,Romance",Uni.
Entourage,1.6267314,2015,tt1674771,Comedy,WB
The Five-Year Engagement,2.0108034666666668,2012,tt1195478,"Comedy,Romance",Uni.
Winnie the Pooh,1.5612817666666667,2011,tt1449283,"Adventure,Animation,Comedy",BV
White Boy Rick,0.6650938666666667,2018,tt4537896,"Crime,Drama",Studio 8
Sanctum,3.4055469333333335,2011,tt0881320,"Adventure,Drama,Thriller",Uni.
The Next Three Days,1.9468189,2010,tt1458175,"Action,Crime,Drama",LGF
Proud Mary,0.4192725666666667,2018,tt6421110,"Action,Crime,Drama",SGem
Runner Runner,1.6609775333333334,2013,tt2364841,"Crime,Thriller",Fox
Baahubali 2: The Conclusion,8.416290266666667,2017,tt4849438,"Action,Drama",GrtIndia
Steve Jobs,0.7781888333333333,2015,tt2080374,"Biography,Drama",Uni.
The Last Stand,1.0127018666666667,2013,tt1549920,"Action,Thriller",LGF
Dead Man Down,0.016508966666666666,2013,tt2101341,"Action,Crime,Drama",FD
The Space Between Us,-0.1877767,2017,tt3922818,"Adventure,Drama,Romance",STX
Kin,-0.4728361,2018,tt6017942,"Action,Drama,Sci-Fi",LGF
Stronger,-0.5667373,2017,tt3881784,"Biography,Drama",RAtt.
Stronger,-0.5667373,2017,tt5738152,Drama,RAtt.
Machine Gun Preacher,-0.8579774,2011,tt1586752,"Action,Biography,Crime",Rela.
Pitch Perfect 2,15.273162,2015,tt2848292,"Comedy,Music",Uni.
The Boss,3.887233344827586,2016,tt2702724,Comedy,Uni.
Logan Lucky,1.4842383793103449,2017,tt5439796,"Comedy,Crime,Drama",BST
Florence Foster Jenkins,1.8753141034482759,2016,tt4136084,"Biography,Comedy,Drama",Par.
Straight Outta Compton,11.9778845,2015,tt1398426,"Biography,Drama,History",Uni.
Girls Trip,8.142673857142857,2017,tt3564472,"Comedy,Drama",Uni.
A Bad Moms Christmas,6.13647175,2017,tt6359956,"Adventure,Comedy",STX
Safe Haven,4.908931107142857,2013,tt1702439,"Drama,Romance,Thriller",Rela.
The Big Short,6.265093642857143,2015,tt1596363,"Biography,Comedy,Drama",Par.
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",5.011908428571428,2014,tt1698641,"Comedy,Family",BV
Last Vegas,5.315297642857143,2013,tt1204975,"Comedy,Drama",CBS
Tag,3.705600392857143,2018,tt2854926,Comedy,WB (NL)
Kick-Ass,4.200087035714286,2010,tt1250777,"Action,Comedy",LGF
30 Minutes or Less,1.7864514285714286,2011,tt1622547,"Action,Comedy,Crime",Sony
3 Days to Kill,1.4877821071428572,2014,tt2172934,"Action,Drama,Thriller",Rela.
Kick-Ass 2,2.283067642857143,2013,tt1650554,"Action,Comedy,Crime",Uni.
A Walk Among the Tombstones,2.147366857142857,2014,tt0365907,"Action,Crime,Drama",Uni.
The Spy Next Door,1.537855857142857,2010,tt1273678,"Action,Comedy,Family",LGF
Brick Mansions,2.35064475,2014,tt1430612,"Action,Crime",Rela.
American Ultra,0.5976790357142857,2015,tt3316948,"Action,Comedy,Sci-Fi",LGF
Pride and Prejudice and Zombies,-0.01622889285714286,2016,tt1374989,"Action,Comedy,Horror",SGem
Joyful Noise,1.2578191636363636,2012,tt1710396,"Comedy,Drama,Music",WB
Anonymous,-0.26258905454545456,2011,tt1521197,"Drama,Thriller",Sony
Limitless,7.696828666666667,2011,tt1219289,"Mystery,Sci-Fi,Thriller",Rela.
Money Monster,3.980672962962963,2016,tt2241351,"Crime,Drama,Thriller",TriS
Lawless,2.5304222307692306,2012,tt1212450,"Crime,Drama",Wein.
The Best of Me,1.6086781153846155,2014,tt1972779,"Drama,Romance",Rela.
The Raven,0.7926951153846153,2012,tt1486192,"Crime,Mystery,Thriller",Rela.
The Fifth Estate,-0.6381406153846154,2013,tt1837703,"Biography,Drama,Thriller",BV
The Help,14.31302364,2011,tt1454029,Drama,BV
Hidden Figures,15.05516012,2016,tt4846340,"Biography,Drama,History",Fox
Ride Along,10.5174546,2014,tt1408253,"Action,Comedy,Crime",Uni.
Dear John,7.88193404,2010,tt0989757,"Drama,Romance,War",SGem
Parental Guidance,6.92398716,2012,tt1047540,"Comedy,Family",Fox
No Strings Attached,7.79561192,2011,tt1411238,"Comedy,Romance",Par.
Contraband,5.5973942,2012,tt1524137,"Action,Crime,Drama",Uni.
The Lucky One,5.28363884,2012,tt1327194,"Drama,Romance",WB
The Giver,3.46522316,2014,tt0435651,"Drama,Romance,Sci-Fi",Wein.
The Night Before,2.81852284,2015,tt3530002,"Adventure,Comedy,Fantasy",Sony
August: Osage County,2.5391048,2013,tt1322269,"Comedy,Drama",Wein.
Million Dollar Arm,2.02663484,2014,tt1647668,"Biography,Drama,Sport",BV
Peppermint,2.48877924,2018,tt6850820,"Action,Crime,Drama",STX
The Gambler,1.89596092,2014,tt2039393,"Crime,Drama,Thriller",Par.
Fist Fight,1.89893732,2017,tt3401882,Comedy,WB (NL)
The Sitter,1.7716792,2011,tt1366344,Comedy,Fox
Draft Day,1.34758868,2014,tt2223990,"Drama,Sport",LG/S
Rings,3.42841204,2017,tt0498381,"Drama,Horror,Mystery",Par.
The Losers,1.13821088,2010,tt0480255,"Action,Adventure,Crime",WB
The Eagle,1.33934356,2011,tt1034389,"Action,Adventure,Drama",Focus
Shark Night 3D,0.51017224,2011,tt1633356,"Horror,Thriller",Rela.
Father Figures,0.5415874,2017,tt1966359,"Adventure,Comedy,Drama",WB
The Counselor,2.51932196,2013,tt2193215,"Crime,Drama,Thriller",Fox
Mary Queen of Scots,1.52812928,2018,tt2328900,"Biography,Drama,History",Focus
My Soul to Take,0.2588762,2010,tt0872230,"Horror,Mystery,Thriller",Uni.
Warrior,0.5149,2011,tt1291584,"Drama,Sport",LGF
Battle of the Sexes,0.2433562,2017,tt4622512,"Biography,Comedy,Drama",FoxS
The 33,0.62513748,2015,tt2006295,"Biography,Drama,History",WB
Tulip Fever,-0.63006388,2017,tt0491203,"Drama,History,Romance",Wein.
Legend,0.77193776,2015,tt3381068,Horror,Uni.
Legend,0.77193776,2015,tt3569230,"Biography,Crime,Drama",Uni.
Think Like a Man Too,4.6273591666666665,2014,tt2239832,"Comedy,Romance",SGem
Fences,4.0819077083333335,2016,tt2671706,Drama,Par.
Piranha 3D,3.527638125,2010,tt0464154,"Comedy,Horror",W/Dim.
Faster,1.459706875,2010,tt1433108,"Action,Crime,Drama",CBS
I Don't Know How She Does It,0.4222307083333333,2011,tt1742650,"Comedy,Romance",Wein.
Green Book,16.700635217391305,2018,tt6966692,"Biography,Comedy,Drama",Uni.
The Wedding Ringer,5.288339434782609,2015,tt0884732,Comedy,SGem
The Ides of March,4.1608025652173914,2011,tt1124035,"Drama,Thriller",Sony
The Hate U Give,1.8168325217391303,2018,tt5580266,"Crime,Drama",Fox
Nocturnal Animals,0.9138683555555556,2016,tt4550098,"Drama,Thriller",Focus
Son of God,4.938629863636364,2014,tt3210686,"Biography,Drama,History",Fox
The Hundred-Foot Journey,5.7502695,2014,tt2980648,"Comedy,Drama",BV
Diary of a Wimpy Kid: Dog Days,4.738107136363636,2012,tt2023453,"Comedy,Family",Fox
Delivery Man,3.599849409090909,2013,tt2387559,"Comedy,Drama",BV
"Hail, Caesar!",3.2836775,2016,tt0475290,"Comedy,Drama,Music",Uni.
Diary of a Wimpy Kid: The Long Haul,1.561286409090909,2017,tt6003368,"Comedy,Family",Fox
Homefront,2.2660842727272725,2013,tt2312718,"Action,Thriller",ORF
The Transporter Refueled,2.8967347727272728,2015,tt2938956,"Action,Adventure,Crime",EC
"Roman J. Israel, Esq.",0.13316927272727272,2017,tt6000478,"Crime,Drama,Thriller",Sony
Out of the Furnace,0.2166010909090909,2013,tt1206543,"Crime,Drama,Thriller",Rela.
Just Getting Started,-0.41699922727272726,2017,tt5721088,"Action,Comedy",BG
Stone,-0.7329500909090909,2010,tt1423995,"Drama,Thriller",Over.
To Rome with Love,3.2330403255813955,2012,tt1859650,"Comedy,Music,Romance",SPC
Silver Linings Playbook,16.547876714285714,2012,tt1045658,"Comedy,Drama,Romance",Wein.
Blockers,6.350324904761905,2018,tt2531344,Comedy,Uni.
For Colored Girls,2.6070271904761904,2010,tt1405500,Drama,LGF
The Beaver,-0.7134831428571429,2011,tt1321860,Drama,Sum.
La La Land,27.8726483,2016,tt3783958,"Comedy,Drama,Music",LG/S
The Conjuring,21.7700141,2013,tt1457767,"Horror,Mystery,Thriller",WB (NL)
Wonder,20.85137605,2017,tt2543472,"Drama,Family",LGF
Bad Moms,13.71280065,2016,tt4651520,Comedy,STX
Tammy,8.04665435,2014,tt2103254,"Comedy,Romance",WB (NL)
The Descendants,11.90663805,2011,tt1033575,"Comedy,Drama",FoxS
The Last Song,6.7814666,2010,tt1294226,"Drama,Music,Romance",BV
12 Years a Slave,10.8848668,2013,tt2024544,"Biography,Drama,History",FoxS
Me Before You,12.22551365,2016,tt2674426,"Drama,Romance",WB (NL)
Barbershop: The Next Cut,4.42171265,2016,tt3628584,"Comedy,Drama",WB (NL)
A Simple Favor,6.55886515,2018,tt7040874,"Comedy,Crime,Drama",LGF
Spotlight,5.8572118,2015,tt1895587,"Crime,Drama",ORF
The Star,4.18030025,2017,tt4587656,"Adventure,Animation,Comedy",Sony
Nerve,4.4617955,2016,tt3531824,"Action,Adventure,Crime",LGF
Risen,3.1567898,2016,tt3231054,"Action,Adventure,Drama",Sony
Vampires Suck,4.9043246,2010,tt1666186,Comedy,Fox
The American,4.17785495,2010,tt1440728,"Crime,Drama,Thriller",Focus
A Very Harold & Kumar 3D Christmas,2.5663388,2011,tt1268799,"Adventure,Comedy",WB
Texas Chainsaw 3D,3.1003979,2013,tt1572315,"Horror,Thriller",LGF
She's Out of My League,3.03459185,2010,tt0815236,"Comedy,Romance",Par.
The World's End,2.6756678,2013,tt1213663,"Action,Comedy,Sci-Fi",Focus
You Again,1.9270499,2010,tt1414382,"Comedy,Family,Romance",BV
On the Basis of Sex,2.1348032,2018,tt4669788,"Biography,Drama",Focus
Monte Carlo,2.1436769,2011,tt1067774,"Adventure,Comedy,Family",Fox
Rough Night,2.4475,2017,tt4799050,"Comedy,Crime,Thriller",Sony
Lockout,1.4134957,2012,tt1592525,"Action,Sci-Fi,Thriller",FD
What's Your Number?,1.20874345,2011,tt0770703,"Comedy,Romance",Fox
Burnt,1.5212728,2015,tt2503944,"Comedy,Drama",Wein.
Triple 9,0.92915445,2016,tt1712261,"Crime,Thriller",ORF
The Light Between Oceans,0.74138555,2016,tt2547584,"Drama,Romance",BV
Let Me In,1.0202667,2010,tt1228987,"Drama,Fantasy,Horror",Over.
Battle of the Year,0.2805866,2013,tt1532958,"Drama,Music",SGem
Inherent Vice,0.14416605,2014,tt1791528,"Comedy,Crime,Drama",WB
Machete Kills,0.3140585,2013,tt2002718,"Action,Crime,Sci-Fi",ORF
Little Boy,0.212763,2015,tt1810683,"Drama,History,War",ORF
Chasing Mavericks,-0.28482115,2012,tt1629757,"Biography,Drama,Sport",Fox
A Most Violent Year,-0.27019955,2014,tt2937898,"Crime,Drama,Thriller",A24
A Dangerous Method,0.0254807,2011,tt1571222,"Biography,Drama,Romance",SPC
Hands of Stone,-0.51276165,2016,tt1781827,"Action,Biography,Drama",Wein.
The Cold Light of Day,0.45623945,2012,tt1366365,"Action,Thriller",LG/S
Suspiria,-0.52409565,2018,tt1034415,"Fantasy,Horror,Mystery",Amazon
All Good Things,-0.92721795,2010,tt1175709,"Crime,Drama,Mystery",Magn.
By the Sea,-0.7866897,2015,tt3707106,"Drama,Romance",Uni.
