title,studio,year
Magic Mike XXL,WB,2015
Dragon Blade,LGP,2015
Seventh Son,Uni.,2015
Insidious Chapter 3,Focus,2015
Get Hard,WB,2015
The Man From U.N.C.L.E.,WB,2015
Paul Blart: Mall Cop 2,Sony,2015
Shaun the Sheep Movie,LGF,2015
Sisters,Uni.,2015
Vacation,WB (NL),2015
Chappie,Sony,2015
Joy,Fox,2015
Black Mass,WB,2015
Devil and Angel (E Gun Tian Shi),CL,2015
The Visit,Uni.,2015
Spotlight,ORF,2015
Poltergeist (2015),Fox,2015
In the Heart of the Sea,WB,2015
Southpaw,Wein.,2015
The Second Best Exotic Marigold Hotel,FoxS,2015
Paper Towns,Fox,2015
Sicario,LGF,2015
Hitman: Agent 47,Fox,2015
The Wedding Ringer,SGem,2015
Paranormal Activity: The Ghost Dimension,Par.,2015
Crimson Peak,Uni.,2015
The Transporter Refueled,EC,2015
Run All Night,WB,2015
War Room,TriS,2015
The Age of Adaline,LGF,2015
The Danish Girl,Focus,2015
Unfriended,Uni.,2015
The Longest Ride,Fox,2015
Brooklyn,FoxS,2015
Dragon Ball Z: Resurrection 'F',FUN,2015
Woman in Gold,Wein.,2015
Krampus,Uni.,2015
The Walk,TriS,2015
The Perfect Guy,SGem,2015
The Gift (2015),STX,2015
No Escape,Wein.,2015
Sinister 2,Focus,2015
Prem Ratan Dhan Payo,FIP,2015
The Boy Next Door,Uni.,2015
The Night Before,Sony,2015
Hot Pursuit,WB (NL),2015
The 100-Year Old Man Who Climbed Out the Window and Disappeared,MBox,2015
The Himalayas,CJ,2015
Surprise - Journey To The West,AR,2015
Entourage,WB,2015
The Woman in Black 2: Angel of Death,Rela.,2015
Concussion (2015),Sony,2015
Mortdecai,LGF,2015
Coming Home (2015),SPC,2015
"McFarland, USA",BV,2015
Max (2015),WB,2015
Still Alice,SPC,2015
The DUFF,LGF,2015
Legend,Uni.,2015
The Gallows,WB (NL),2015
Love the Coopers,LGF,2015
The Lady in the Van,SPC,2015
Ricki and the Flash,TriS,2015
Carol,Wein.,2015
The Lazarus Effect,Rela.,2015
The Water Diviner,WB,2015
A Walk in the Woods,BG,2015
Ex Machina,A24,2015
Burnt,Wein.,2015
Room,A24,2015
The Secret in their Eyes (2015),STX,2015
Steve Jobs,Uni.,2015
Victor Frankenstein,Fox,2015
Project Almanac,Par.,2015
Self/Less,Focus,2015
Far from the Madding Crowd,FoxS,2015
Mr. Holmes,RAtt.,2015
Love & Mercy,RAtt.,2015
Irrational Man,SPC,2015
American Ultra,LGF,2015
Wild Tales,SPC,2015
Aloha,Sony,2015
"Love, Rosie",TFA,2015
The 33,WB,2015
Capture the Flag,Par.,2015
The Gunman,ORF,2015
Go Away Mr. Tumor,CL,2015
Black or White,Rela.,2015
Blackhat,Uni.,2015
Dope,ORF,2015
Brothers: Blood Against Blood,FIP,2015
While We're Young,A24,2015
Monkey Kingdom,BV,2015
Macbeth (2015),Wein.,2015
Scouts Guide to the Zombie Apocalypse,Par.,2015
Suffragette,Focus,2015
It Follows,RTWC,2015
Unfinished Business,Fox,2015
Do You Believe?,PFR,2015
Woodlawn,PFR,2015
Strange Magic,BV,2015
Hot Tub Time Machine 2,Par.,2015
Child 44,LG/S,2015
We Are Your Friends,WB,2015
Danny Collins,BST,2015
Kung Fu Killer,WGUSA,2015
A Little Chaos,FCW,2015
The Loft,ORF,2015
The Young & Prodigious T.S. Spivet,Wein.,2015
Shanghai,Wein.,2015
Un Gallo con Muchos Huevos,LGF,2015
Me and Earl and the Dying Girl,FoxS,2015
Amy,A24,2015
Shaandaar,FIP,2015
Trumbo (2015),BST,2015
Bajrangi Bhaijaan,Eros,2015
I'll See You In My Dreams,BST,2015
The Green Inferno,BH Tilt,2015
Grandma (2015),SPC,2015
Our Brand Is Crisis (2015),WB,2015
Baahubali: The Beginning,BSC,2015
Bajirao Mastani,Eros,2015
Little Boy,ORF,2015
What We Do in the Shadows,U/P,2015
Anomalisa,Par.,2015
Pawn Sacrifice,BST,2015
Serena,Magn.,2015
Mr. X,FIP,2015
Dilwale,UTV,2015
Back to the Future Day,UHE,2015
Trash,FCW,2015
True Story,FoxS,2015
"Buen Dia, Ramon",FIP,2015
Hamari Adhuri Kahani,FIP,2015
45 Years,IFC,2015
Escobar: Paradise Lost,RTWC,2015
Spare Parts,LGF,2015
Learning to Drive,BG,2015
By the Sea,Uni.,2015
Sleeping with Other People,IFC,2015
Phoenix (2015),IFC,2015
Jimmy's Hall,SPC,2015
Dil Dhadakne Do,Eros,2015
Ladrones,LGF,2015
Remember (Canada Release),EOne,2015
Tanu Weds Manu Returns,Eros,2015
Rock The Kasbah,ORF,2015
The End of the Tour,A24,2015
Captive (2015),Par.,2015
He Named Me Malala,FoxS,2015
Youth,FoxS,2015
Chi-Raq,RAtt.,2015
Truth,SPC,2015
Mistress America,FoxS,2015
Jem and the Holograms,Uni.,2015
Beloved Sisters,MBox,2015
The Riot Club,IFC,2015
Tamasha,UTV,2015
Cake,CLF,2015
Assassination (2015),WGUSA,2015
Clouds of Sils Maria,IFC,2015
Testament of Youth,SPC,2015
Piku,Yash,2015
The Vatican Tapes,LGF,2015
Son of Saul,SPC,2015
Janis: Little Girl Blue,FR,2015
'71,RAtt.,2015
The Diary of a Teenage Girl,SPC,2015
I (2015),AaF,2015
Infinitely Polar Bear,SPC,2015
99 Homes,BG,2015
Welcome Back,Eros,2015
The Salt of the Earth,SPC,2015
Maps to the Stars,FCW,2015
Iris (2015),Magn.,2015
The Wolfpack,Magn.,2015
Veteran,CJ,2015
Goodnight Mommy,RTWC,2015
Black Sea,Focus,2015
Miss You Already,RAtt.,2015
Where Hope Grows,RAtt.,2015
Cartel Land,Orch.,2015
Timbuktu,Cohen,2015
Dior and I,Orch.,2015
5 Flights Up,FCW,2015
Big Stone Gap,PH,2015
Gett: The Trial of Viviane Amsalem,MBox,2015
Boruto: Naruto the Movie,Elev.,2015
Singh is Bling,Eros,2015
ABCD (Any Body Can Dance) 2,UTV,2015
Mustang,Cohen,2015
Labyrinth of Lies,SPC,2015
The D Train,IFC,2015
Seymour: An Introduction,IFC,2015
Tangerine,Magn.,2015
Red Army,SPC,2015
The Stanford Prison Experiment,IFC,2015
The Assassin,WGUSA,2015
"Kumiko, The Treasure Hunter",Ampl.,2015
Welcome to Me,Alc,2015
Black Panthers: Vanguard of the Revolution,PBS,2015
Detective Byomkesh Bakshy,Yash,2015
Freeheld,LGF,2015
When Marnie Was There,GK,2015
Gabbar is Back,Eros,2015
The Last - Naruto the Movie,Elev.,2015
Peggy Guggenheim Art Addict,SD,2015
Phantom (2015),UTV,2015
Somewhere Only We Know,CL,2015
Let's Get Married,CL,2015
Bombay Velvet,FIP,2015
Attack on Titan: Part 1,FUN,2015
The Third Man (2015 re-release),Rialto,2015
Saint Laurent,SPC,2015
Listen to Me Marlon,SHO,2015
Heart of a Dog,Abr.,2015
The Witness (Wo shi zheng ren),CL,2015
Unbranded,Grav.,2015
The Second Mother,Osci.,2015
Kahlil Gibran's The Prophet (Gathr),Gathr,2015
Katti Batti,UTV,2015
Kahlil Gibran's The Prophet,GK,2015
Effie Gray,AF,2015
Noble,Asp.,2015
Northern Limit Line,WGUSA,2015
Shamitabh,Eros,2015
Jafar Panahi's Taxi,KL,2015
Good Kill,IFC,2015
Running Man (2015),CL,2015
Attack on Titan: Part 2,FUN,2015
Theeb,FM,2015
White God,Magn.,2015
A Borrowed Identity,Strand,2015
In the Name of my Daughter,Cohen,2015
Hitchcock/Truffaut,Cohen,2015
Love (2015),Alc,2015
Tevar,Eros,2015
20 Once Again,CJ,2015
Slow West,A24,2015
A Royal Night Out,ADC,2015
A Pigeon Sat on a Branch Reflecting on Existence,Magn.,2015
Pyaar Ka Punchnama 2,Rel.,2015
Fall in Love Like a Star,CL,2015
Dark Places,A24,2015
Heneral Luna,Abr.,2015
Gemma Bovery,MBox,2015
The Connection,Drft.,2015
Love and Lost (Shi Gu),CL,2015
Stonewall (2015),RAtt.,2015
Maggie,RAtt.,2015
Detective K: Secret of the Lost Island,CJ,2015
The Priests,CJ,2015
The Farewell Party,Gold.,2015
A Brilliant Young Mind,Gold.,2015
Time Out of Mind,IFC,2015
Snow Girl and the Dark Crystal,WGUSA,2015
C'Est Si Bon,CJ,2015
The Last Women Standing,CL,2015
5 to 7,IFC,2015
After The Ball,Free,2015
Human Capital,FM,2015
Experimenter,Magn.,2015
Desert Dancer,Rela.,2015
Samba,BG,2015
The Tribe,Drft.,2015
Forever Young (2015),CL,2015
The New Girlfriend,Cohen,2015
Tangerines,Gold.,2015
Manglehorn,IFC,2015
Ingrid Bergman: In Her Own Words,Rialto,2015
Twenty (2015),CJ,2015
La Sapienza,KL,2015
Mississippi Grind,A24,2015
A Journey Through Time with Anthony,CL,2015
Boulevard,SM,2015
Z for Zachariah,RAtt.,2015
Do I Sound Gay?,IFC,2015
Love Live! The School Idol Movie,AZ,2015
She's Funny That Way,LGP,2015
Memories of the Sword,WGUSA,2015
The Look of Silence,Drft.,2015
The Beauty Inside,WGUSA,2015
The Chronicles of Evil,CJ,2015
Every Secret Thing,SM,2015
Ghost in the Shell: The New Movie,FUN,2015
Black Souls (Anime Nere),Alc,2015
A Poem Is a Naked Person (2015 re-issue),Jan.,2015
Saving Mr. Wu,UEP,2015
The Tales of Hoffmann (2015 re-issue),Rialto,2015
Christmas Eve,Ampl.,2015
Queen of Earth,IFC,2015
Hero (2015),Eros,2015
Sunshine Superman,Magn.,2015
Heaven Knows What,RTWC,2015
Nasty Baby,Orch.,2015
The Wonders,Osci.,2015
Predestination,VE,2015
People Places Things,TFA,2015
Eden,BG,2015
The Duke of Burgundy,IFC,2015
The Office,CL,2015
Flowers,MBox,2015
Only You,CL,2015
Girlhood (2015),Strand,2015
Jauja,CGld,2015
Gueros,KL,2015
I Smile Back,BG,2015
The Ark of Mr. Chow,CL,2015
Love Thy Nature,ITL,2015
The Advocate: A Missing Body,CJ,2015
Heist (2015),LGP,2015
Difret,TA,2015
Appropriate Behavior,Grav.,2015
Beyond the Reach,RAtt.,2015
The Salvation,IFC,2015
Madame Bovary,Alc,2015
Charlie's Country,MR,2015
Pearl Button,KL,2015
Queen and Country,BBC,2015
The Phone,CJ,2015
What Our Fathers Did: A Nazi Legacy,Osci.,2015
Lila & Eve,Gold.,2015
Before We Go,RTWC,2015
The Mafia Only Kills in Summer,Distrib.,2015
Knock Knock,LGP,2015
Kindergarten Teacher,KL,2015
Welcome to Leith,FRun,2015
Wild City,WGUSA,2015
The Forbidden Room,KL,2015
Song One,TFA,2015
Love Forecast,CJ,2015
"Out 1, noli me tangere",CFilms,2015
"3 1/2 Minutes, 10 Bullets",Part.,2015
Paulette,Cohen,2015
The Cut,Strand,2015
The Keeping Room,Drft.,2015
Big Game,EC,2015
Kill Me Three Times,Magn.,2015
"Hippocrates, Diary of a French Doctor",Distrib.,2015
Court,Zeit.,2015
Salut D'Amour,CJ,2015
Mediterranea,IFC,2015
Noma - My Perfect Storm,Magn.,2015
The Little Death,Magn.,2015
Gangnam 1970,CJ,2015
Strangerland,Alc,2015
Eastern Boys,FRun,2015
Extraction,LGP,2015
Eva,Wein.,2015
The World of Kanako,Drft.,2015
Zombeavers,Free,2015
The Hallow,IFC,2015
Amour Fou,FM,2015
Arabian Nights: Volume 1 - The Restless One,KL,2015
Of Horses and Men,MBox,2015
Marie's Story,FM,2015
1001 Grams,KL,2015
Empire of Lust,CJ,2015
The Forecaster,FOR,2015
Still Life (2015),Trib.,2015
Every Thing Will be Fine,IFC,2015
The Lesson,FM,2015
An Eye for Beauty,MR,2015
Northern Soul,Free,2015
The Girl in the Book,Free,2015
Steak (R)evolution,KL,2015
On the Way to School,Distrib.,2015
Hungry Hearts,IFC,2015
Steve McQueen: The Man & Le Mans,FR,2015
Arabian Nights: Volume 2 - The Desolate One,KL,2015
Alleluia,MBox,2015
Barely Lethal,A24,2015
Chic!,Distrib.,2015
Far from Men,Trib.,2015
The Dead Lands,Magn.,2015
Jenny's Wedding,IFC,2015
Against the Sun,TAFC,2015
Ashby,TFA,2015
Arabian Nights: Volume 3 - The Enchanted One,KL,2015
The Summer of Sangaile,Strand,2015
Club Life,Orch.,2015
Back to the Jurassic,CJ,2015
In the Basement,Strand,2015
Fidelio: Alice's Odyssey,FRun,2015
That Sugar Film,Gold.,2015
Xenia,Strand,2015
The Iron Ministry,Icar.,2015
The Lady in the Car with Glasses and a Gun,Magn.,2015
Stations of the Cross,FM,2015
Skin Trade,Magn.,2015
Thanks to My Friends,Distrib.,2015
REC 4: Apocalypse,Magn.,2015
It's All So Quiet (Boven is het stil),BWP,2015
Tough Being Loved By Jerks,KL,2015
The Chambermaid,FM,2015
Captain America: Civil War,BV,2016
Rogue One: A Star Wars Story,BV,2016
Finding Dory,BV,2016
Zootopia,BV,2016
The Jungle Book (2016),BV,2016
The Secret Life of Pets,Uni.,2016
Batman v Superman: Dawn of Justice,WB,2016
Fantastic Beasts and Where To Find Them,WB,2016
Deadpool,Fox,2016
Suicide Squad,WB,2016
Doctor Strange,BV,2016
Moana,BV,2016
Sing,Uni.,2016
The Mermaid (Mei ren yu),Sony,2016
X-Men: Apocalypse,Fox,2016
Kung Fu Panda 3,Fox,2016
La La Land,LG/S,2016
Warcraft,Uni.,2016
Jason Bourne,Uni.,2016
Ice Age: Collision Course,Fox,2016
Independence Day: Resurgence,Fox,2016
Monster Hunt,FR,2016
The Legend of Tarzan,WB,2016
The Angry Birds Movie,Sony,2016
Trolls,Fox,2016
Star Trek Beyond,Par.,2016
Now You See Me 2,LG/S,2016
The Conjuring 2,WB (NL),2016
Passengers (2016),Sony,2016
Dangal,UTV,2016
Alice Through the Looking Glass,BV,2016
Miss Peregrine's Home for Peculiar Children,Fox,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,2016
Assassin's Creed,Fox,2016
Sully,WB,2016
Hidden Figures,Fox,2016
Ghostbusters (2016),Sony,2016
Inferno,Sony,2016
Central Intelligence,WB (NL),2016
Bridget Jones's Baby,Uni.,2016
Me Before You,WB (NL),2016
London Has Fallen,Focus,2016
Arrival,Par.,2016
The Monkey King 2 in 3D,CL,2016
Bad Moms,STX,2016
Storks,WB,2016
The BFG,BV,2016
The Divergent Series: Allegiant,LG/S,2016
Hacksaw Ridge,LGF,2016
The Girl on the Train (2016),Uni.,2016
Operation Mekong,WGUSA,2016
The Huntsman: Winter's War,Uni.,2016
The Magnificent Seven (2016),Sony,2016
Jack Reacher: Never Go Back,Par.,2016
Don't Breathe,SGem,2016
Ip Man 3,WGUSA,2016
The Accountant,WB,2016
Gods of Egypt,LG/S,2016
Lights Out,WB (NL),2016
Pete's Dragon (2016),BV,2016
Sausage Party,Sony,2016
Lion,Wein.,2016
Detective Chinatown (Tang ren jie tan an),CL,2016
Mechanic: Resurrection,LG/S,2016
Ride Along 2,Uni.,2016
Deepwater Horizon,LG/S,2016
Allied,Par.,2016
The Shallows,Sony,2016
The Purge: Election Year,Uni.,2016
Why Him?,Fox,2016
Finding Mr. Right 2,CL,2016
Office Christmas Party,Par.,2016
How to Be Single,WB (NL),2016
10 Cloverfield Lane,Par.,2016
The 5th Wave,Sony,2016
Neighbors 2: Sorority Rising,Uni.,2016
Cold War 2,WGUSA,2016
The Little Prince,EOne,2016
Dirty Grandpa,LGF,2016
Ben-Hur (2016),Par.,2016
Money Monster,TriS,2016
My Big Fat Greek Wedding 2,Uni.,2016
Collateral Beauty,WB (NL),2016
Train to Busan,WGUSA,2016
Sultan,Yash,2016
War Dogs,WB,2016
Nerve,LGF,2016
Ouija: Origin of Evil,Uni.,2016
Manchester by the Sea,RAtt.,2016
The Boss,Uni.,2016
Shin Godzilla,FUN,2016
Mike and Dave Need Wedding Dates,Fox,2016
Boo! A Madea Halloween,LGF,2016
Miracles from Heaven,TriS,2016
I Am Not Madame Bovary,WGUSA,2016
Kubo and the Two Strings,Focus,2016
13 Hours: The Secret Soldiers of Benghazi,Par.,2016
Moonlight (2016),A24,2016
Fences,Par.,2016
The Boy (2016),STX,2016
"Hail, Caesar!",Uni.,2016
The Nice Guys,WB,2016
L.O.R.D: Legend of Ravaging Dynasties,AR,2016
Nine Lives (2016),EC,2016
Zoolander 2,Par.,2016
Barbershop: The Next Cut,WB (NL),2016
The Finest Hours,BV,2016
Master,CJ,2016
Patriots Day,LGF,2016
Florence Foster Jenkins,Par.,2016
Mother's Day,ORF,2016
Luck-Key,JBG,2016
Yo-kai Watch: The Movie,Elev.,2016
A Monster Calls,Focus,2016
Eddie the Eagle,Fox,2016
Risen,Sony,2016
Blair Witch,LGF,2016
Cafe Society,LGF,2016
Almost Christmas,Uni.,2016
The Witch,A24,2016
The Wild Life (2016),LG/S,2016
Criminal (2016),LG/S,2016
Absolutely Fabulous: The Movie,FoxS,2016
Hell or High Water,LGF,2016
The Forest,Focus,2016
Snowden,ORF,2016
Billy Lynn's Long Halftime Walk,TriS,2016
When the Bough Breaks,SGem,2016
Nocturnal Animals,Focus,2016
Keeping Up with the Joneses,Fox,2016
Ae Dil Hai Mushkil,FIP,2016
Fan,Yash,2016
M.S. Dhoni: The Untold Story,FIP,2016
The Light Between Oceans,BV,2016
The Brothers Grimsby,Sony,2016
Race (2016),Focus,2016
Free State of Jones,STX,2016
A Beautiful Planet,Imax,2016
God's Not Dead 2,PFR,2016
Silence (2016),Par.,2016
Middle School: The Worst Years of My Life,LGF,2016
Triple 9,ORF,2016
Whiskey Tango Foxtrot,Par.,2016
Captain Fantastic,BST,2016
Live By Night,WB,2016
Julieta,SPC,2016
Solace,LGP,2016
Fifty Shades of Black,ORF,2016
Keanu,WB (NL),2016
El Clan,FIP,2016
The Edge of Seventeen,STX,2016
The Choice,LGF,2016
Eye in the Sky,BST,2016
Bad Santa 2,BG,2016
Regression,W/Dim.,2016
Neerja,FIP,2016
Masterminds (2016),Rela.,2016
Norm of the North,LGF,2016
Hardcore Henry,STX,2016
Pride and Prejudice and Zombies,SGem,2016
The Infiltrator,BG,2016
Kapoor & Sons - Since 1921,FIP,2016
The Take (2016),HTR,2016
Sword Master,WGUSA,2016
"Hello, My Name is Doris",RAtt.,2016
The Other Side of the Door,Fox,2016
Love & Friendship,RAtt.,2016
Jackie,FoxS,2016
Sing Street,Wein.,2016
Shut In,EC,2016
Loving,Focus,2016
The Beatles: Eight Days a Week - The Touring Years,Abr.,2016
The Man Who Knew Infinity,IFC,2016
No Manches Frida,PNT,2016
The Darkness,BH Tilt,2016
Our Kind of Traitor,RAtt.,2016
The Perfect Match,LGF,2016
Queen of Katwe,BV,2016
Miss Sloane,EC,2016
Ratchet & Clank,Focus,2016
Morgan,Fox,2016
The Lobster (US Release),A24,2016
My King (Mon roi),FM,2016
Pele: Birth of a Legend,IFC,2016
A Bigger Splash,FoxS,2016
Southside with You,RAtt.,2016
The Young Messiah,Focus,2016
Incarnate,BH Tilt,2016
Max Steel,ORF,2016
Midnight Special,WB,2016
The Duelist,Sony,2016
The Autopsy of Jane Doe,IFC,2016
My Best Friend's Wedding (2016),Sony,2016
Genius,RAtt.,2016
20th Century Women,A24,2016
Hunt for the Wilderpeople,Orch.,2016
Bleed for This,ORF,2016
Hands of Stone,Wein.,2016
Men & Chicken,Drft.,2016
The Meddler,SPC,2016
A Hologram for the King,RAtt.,2016
Swiss Army Man,A24,2016
Denial,BST,2016
Indignation,RAtt.,2016
Kabali,CineGalaxy,2016
Rules Don't Apply,Fox,2016
Where to Invade Next,Drft.,2016
Batman: The Killing Joke,Fathom,2016
Naam Hai Akira,FIP,2016
A Man Called Ove,MBox,2016
Miles Ahead,SPC,2016
Everybody Wants Some!!,Par.,2016
Maggie's Plan,SPC,2016
The Program (2016),EOne,2016
Green Room,A24,2016
The Eagle Huntress,SPC,2016
Compadres,PNT,2016
Desierto,STX,2016
Anthropoid,BST,2016
Hillsong - Let Hope Rise,PFR,2016
El Jeremias,Sony,2016
The Disappointments Room,Rela.,2016
Dear Zindagi,Relbig.,2016
Elle,SPC,2016
Paterson,BST,2016
Equals,A24,2016
I'm Not Ashamed,PFR,2016
The Dressmaker,BG,2016
The Handmaiden,Magn.,2016
Demolition,FoxS,2016
American Honey,A24,2016
Busco Novio Para Mi Mujer,PNT,2016
A Perfect Day,IFC,2016
Weiner,IFC,2016
Rustom,Zee,2016
I Saw the Light,SPC,2016
Jane Got a Gun,Wein.,2016
Toni Erdmann,SPC,2016
The Neon Demon,BG,2016
Embrace of the Serpent,Osci.,2016
Housefull 3,Eros,2016
Mohenjo Daro,UTV,2016
Lazer Team,Ampl.,2016
The Music of Strangers,Orch.,2016
Dough,Men.,2016
Ma ma,Osci.,2016
Wazir,Relbig.,2016
Papa: Hemingway in Cuba,YFG,2016
Certain Women,IFC,2016
The Innocents,MBox,2016
Elvis & Nixon,BST,2016
Operation Chromite,CJ,2016
Baar Baar Dekho,Eros,2016
Dark Horse (2016),SPC,2016
Neruda,Orch.,2016
Gentleman,Gaatri,2016
Ki & Ka,Eros,2016
Dishoom,Eros,2016
The Wailing (Goksung),WGUSA,2016
Chongqing Hot Pot,CL,2016
The Polar Express (2016 re-issue),WB,2016
Little Men (2016),Magn.,2016
Chaar Sahibzaade: Rise of Band Singh Bahadur,Eros,2016
Born to be Blue (US Release),IFC,2016
City of Gold,IFC,2016
Remember (US Release),A24,2016
Embrace: The Documentary,Gathr,2016
Tickled,Magn.,2016
"Lo and Behold, Reveries of the Connected World",Magn.,2016
A Tale of Love and Darkness,FCW,2016
Tunnel,WGUSA,2016
Knight of Cups,BG,2016
Harry & Snowman,FR,2016
Viral,W/Dim.,2016
American Pastoral,LGF,2016
The Age of Shadows,CJ,2016
Fitoor,UTV,2016
The First Monday in May,Magn.,2016
Marguerite,Cohen,2016
The Boy and the Beast,FUN,2016
Wiener-Dog,IFC,2016
Our Little Sister,SPC,2016
Only Yesterday (2016 re-release),GK,2016
Baaghi,UTV,2016
Land of Mine,SPC,2016
Things To Come,IFC,2016
The Lobster (Canada Release),Mon,2016
Mr. Donkey,CL,2016
Happy Bhaag Jayegi,Eros,2016
High-Rise,Magn.,2016
Te3n,Rel.,2016
Francofonia,MBox,2016
Mia Madre,MBox,2016
April and the Extraordinary World,GK,2016
Ixcanul,KL,2016
The People vs. Fritz Bauer,Cohen,2016
Aquarius,Vita.,2016
Kingsglaive: Final Fantasy: XV,VE,2016
My Golden Days,Magn.,2016
The Family Fang,SM,2016
Dheepan,IFC,2016
"Life, Animated",Orch.,2016
Oasis: Supersonic,A24,2016
The Invitation,Drft.,2016
Miss Hokusai,GK,2016
Kaptaan,UTV,2016
League of Gods,Sony,2016
Viva,Magn.,2016
The Wave,Magn.,2016
Asura: The City of Madness,CJ,2016
Louder than Bombs,Orch.,2016
Howards End (2016 Restoration),Cohen,2016
Sunset Song,Magn.,2016
Born to be Blue,EOne,2016
Seasons,MBox,2016
Rams (Hrútar),Cohen,2016
Tumbledown,SM,2016
The Brand New Testament,MBox,2016
Spirits' Homecoming,PM&E,2016
Sweet Bean,KL,2016
A War,Magn.,2016
Fire at Sea,KL,2016
Hockney,FM,2016
Three,WGUSA,2016
Tale of Tales,IFC,2016
The Measure of a Man,KL,2016
Aferim!,BWP,2016
Until Forever (Por Siempre),CZ,2016
Under the Sun (2016),Icar.,2016
Our Last Tango,Strand,2016
Rock On 2,Eros,2016
Seondal: The Man Who Sells the River,CJ,2016
So Young 2: Never Gone,CL,2016
"New York, New York (2016)",CL,2016
Fireworks Wednesday,Ghop,2016
No One's Life Is Easy: So I Married an Anti-Fan,CL,2016
"My Love, Don't Cross that River",FM,2016
Author: The JT LeRoy Story,Magn.,2016
Mountains May Depart,KL,2016
Cock and Bull,CL,2016
A Street Cat Named Bob,Cleopatra,2016
Les cowboys,Cohen,2016
Saala Khadoos,UTV,2016
The Monster (2016),A24,2016
Dancer,IFC,2016
Sweet 20,CJ,2016
The Dark Horse,BG,2016
Phantom Detective,CJ,2016
Ran (2016 re-issue),Rialto,2016
Microbe & Gasoline,Scre.,2016
Time Renegades,CJ,2016
Vanishing Time: A Boy Who Returned,Dreamwest,2016
DONGJU: The Portrait of a Poet,CJ,2016
L'attesa,Osci.,2016
The Lovers and the Despot,Magn.,2016
Clown,W/Dim.,2016
Diary of a Chambermaid,Cohen,2016
High Strung (2016),Pala.,2016
The Club,MBox,2016
Being 17,Strand,2016
The Last Man on the Moon,Grav.,2016
My Annoying Brother,CJ,2016
Cemetery of Splendor,Strand,2016
Disorder,IFC,2016
Like for Likes,CJ,2016
In the Shadow of Women,Distrib.,2016
In Order of Disappearance,Magn.,2016
The Treasure,SDS,2016
Fatima,KL,2016
We Are X,Drft.,2016
A Melody to Remember,CJ,2016
Phantom of the Theatre,WGUSA,2016
Mastizaade,Eros,2016
Closet Monster,Strand,2016
Troublemakers: The Story of Land Art,FRun,2016
Come What May,Cohen,2016
Until Forever,Linn,2016
Summertime (2016),Strand,2016
Songs My Brothers Taught Me,KL,2016
Mr. Right,FCW,2016
Phantom Boy,GK,2016
Sweet Sixteen (Xia You Qiao Mu),CL,2016
Eisenstein in Guanajuato,Strand,2016
Last Cab to Darwin,FRun,2016
The Map Against the World,CJ,2016
Kaili Blues,Ghop,2016
Anesthesia,IFC,2016
"Rio, I Love You",Scre.,2016
As I Open My Eyes,KL,2016
The Son of Joseph,KL,2016
From Afar,Strand,2016
For a Few Bullets,CL,2016
The Last Princess,CJ,2016
Valley of Love,Strand,2016
Blackway,Electric,2016
Neon Bull,KL,2016
Papa (Luo shan ji dao dan ji hua),Jampa,2016
Standing Tall (La tete haute),Cohen,2016
Chevalier,Strand,2016
The New Year's Eve of Old Lee,CL,2016
Cosmos,KL,2016
A Monster with a Thousand Heads,MBox,2016
Evolution,IFC,2016
"Right Now, Wrong Then",Ghop,2016
Lolo,FR,2016
Sanam Teri Kasam,Eros,2016
Term Life,FCW,2016
The Sea of Trees,A24,2016
Wildflower (Secretos del Alma),CZ,2016
Colonia,Scre.,2016
Argentina,FRun,2016
Remember You,CJ,2016
Adderall Diaries,A24,2016
Neither Heaven Nor Earth,FM,2016
The Ones Below,Magn.,2016
"Kiki, Love to Love",Strand,2016
Don't Call Me Son,Zeit.,2016
Jeruzalem,EpicPics,2016
Serial Killer 1,KL,2016
Chronic,MR,2016
Magnus,FR,2016
The Last King,Magn.,2016
Mojave,A24,2016
The Other Side,FM,2016
The President,Crnth,2016
They Will Have to Kill Us First,BBC,2016
The Carer,Crnth,2016
Klown Forever,Drft.,2016
Search Party,FCW,2016
In Harmony,Distrib.,2016
In Her Name (Au nom de ma fille),Distrib.,2016
Next Time I'll Aim for the Heart,Distrib.,2016
The Student and Mr. Henri,Distrib.,2016
Down By Love,Distrib.,2016
News From Planet Mars,KL,2016
Satanic,Magn.,2016
Star Wars: The Last Jedi,BV,2017
Beauty and the Beast (2017),BV,2017
The Fate of the Furious,Uni.,2017
Despicable Me 3,Uni.,2017
Jumanji: Welcome to the Jungle,Sony,2017
Spider-Man: Homecoming,Sony,2017
Wolf Warrior 2,HC,2017
Guardians of the Galaxy Vol. 2,BV,2017
Thor: Ragnarok,BV,2017
Wonder Woman,WB,2017
Coco,BV,2017
Pirates of the Caribbean: Dead Men Tell No Tales,BV,2017
It,WB (NL),2017
Justice League,WB,2017
Logan (2017),Fox,2017
Transformers: The Last Knight,Par.,2017
Kong: Skull Island,WB,2017
The Boss Baby,Fox,2017
Dunkirk,WB,2017
War for the Planet of the Apes,Fox,2017
The Greatest Showman,Fox,2017
Kingsman: The Golden Circle,Fox,2017
The Mummy (2017),Uni.,2017
Cars 3,BV,2017
Fifty Shades Darker,Uni.,2017
Your Name.,FUN,2017
Murder on the Orient Express (2017),Fox,2017
xXx: The Return of Xander Cage,Par.,2017
The Great Wall,Uni.,2017
Resident Evil: The Final Chapter,SGem,2017
