genres,return_ratio,year
Mystery,2.145860476923077,2010
Thriller,2.145860476923077,2010
Action,2.4925469923076924,2014
Adventure,2.4925469923076924,2014
Drama,2.4925469923076924,2014
Action,2.473736784615385,2011
Adventure,2.473736784615385,2011
Animation,2.473736784615385,2011
Action,1.4001674,2013
Adventure,1.4001674,2013
Drama,1.4001674,2013
Action,-0.13311128461538463,2013
Adventure,-0.13311128461538463,2013
Comedy,-0.13311128461538463,2013
Adventure,2.6811278897637796,2014
Comedy,2.6811278897637796,2014
Family,2.6811278897637796,2014
Action,7.829688128,2014
Adventure,7.829688128,2014
Sci-Fi,7.829688128,2014
Action,5.721558232,2011
Crime,5.721558232,2011
Thriller,5.721558232,2011
Action,4.780094888,2011
Adventure,4.780094888,2011
Crime,4.780094888,2011
Adventure,4.48705436,2017
Animation,4.48705436,2017
Comedy,4.48705436,2017
Adventure,2.982857584,2016
Animation,2.982857584,2016
Comedy,2.982857584,2016
Adventure,3.231402792,2012
Mystery,3.231402792,2012
Sci-Fi,3.231402792,2012
Action,2.14847832,2012
Adventure,2.14847832,2012
Thriller,2.14847832,2012
Action,1.980285232,2018
Adventure,1.980285232,2018
Thriller,1.980285232,2018
Action,3.8196769666666666,2016
Thriller,3.8196769666666666,2016
Adventure,5.215825208333333,2012
Drama,5.215825208333333,2012
Fantasy,5.215825208333333,2012
Action,2.1603517333333335,2013
Drama,2.1603517333333335,2013
Sci-Fi,2.1603517333333335,2013
Action,2.1418655666666666,2013
Adventure,2.1418655666666666,2013
Sci-Fi,2.1418655666666666,2013
Action,0.8663894583333334,2015
Adventure,0.8663894583333334,2015
Drama,0.8663894583333334,2015
Action,3.7740322086956524,2013
Adventure,3.7740322086956524,2013
Sci-Fi,3.7740322086956524,2013
Adventure,1.4535456160714286,2010
Comedy,1.4535456160714286,2010
Family,1.4535456160714286,2010
Adventure,2.3716964864864867,2017
Animation,2.3716964864864867,2017
Comedy,2.3716964864864867,2017
Action,9.102475381818182,2018
Adventure,9.102475381818182,2018
Comedy,9.102475381818182,2018
Drama,7.798103436363636,2013
Sci-Fi,7.798103436363636,2013
Thriller,7.798103436363636,2013
Action,4.558630645454546,2015
Adventure,4.558630645454546,2015
Drama,4.558630645454546,2015
Adventure,5.421486190909091,2011
Animation,5.421486190909091,2011
Comedy,5.421486190909091,2011
Action,1.9812322272727272,2011
Comedy,1.9812322272727272,2011
Crime,1.9812322272727272,2011
Action,2.1758513636363634,2011
Drama,2.1758513636363634,2011
Family,2.1758513636363634,2011
Action,1.3133024545454546,2010
Adventure,1.3133024545454546,2010
Thriller,1.3133024545454546,2010
Adventure,2.8142300636363635,2013
Animation,2.8142300636363635,2013
Comedy,2.8142300636363635,2013
Action,0.7247315818181819,2013
Adventure,0.7247315818181819,2013
Fantasy,0.7247315818181819,2013
Adventure,7.182454685185185,2015
Drama,7.182454685185185,2015
Sci-Fi,7.182454685185185,2015
Action,0.5034408018867924,2016
Drama,0.5034408018867924,2016
Romance,0.5034408018867924,2016
Adventure,3.4401875238095236,2016
Animation,3.4401875238095236,2016
Comedy,3.4401875238095236,2016
Action,3.8946012884615384,2017
Adventure,3.8946012884615384,2017
Comedy,3.8946012884615384,2017
Adventure,1.2706843689320388,2018
Family,1.2706843689320388,2018
Fantasy,1.2706843689320388,2018
Action,4.807756647058824,2018
Adventure,4.807756647058824,2018
Sci-Fi,4.807756647058824,2018
Action,0.5468767254901961,2012
Drama,0.5468767254901961,2012
Mystery,0.5468767254901961,2012
Drama,5.12753757,2012
Western,5.12753757,2012
Comedy,3.59089174,2010
Romance,3.59089174,2010
Action,1.90156448,2010
Comedy,1.90156448,2010
Crime,1.90156448,2010
Biography,4.06771108,2013
Crime,4.06771108,2013
Drama,4.06771108,2013
Adventure,2.70313123,2013
Animation,2.70313123,2013
Family,2.70313123,2013
Action,2.97007448,2012
Adventure,2.97007448,2012
Thriller,2.97007448,2012
Action,2.46362526,2010
Adventure,2.46362526,2010
Thriller,2.46362526,2010
Action,0.9539203,2010
Adventure,0.9539203,2010
Animation,0.9539203,2010
Action,1.48783922,2014
Adventure,1.48783922,2014
Thriller,1.48783922,2014
Action,0.33020357,2010
Drama,0.33020357,2010
Thriller,0.33020357,2010
Action,1.54496169,2017
Sci-Fi,1.54496169,2017
Thriller,1.54496169,2017
Action,0.14714067,2015
Adventure,0.14714067,2015
Biography,0.14714067,2015
Action,0.26061567,2014
Drama,0.26061567,2014
Sci-Fi,0.26061567,2014
Action,0.01238457,2018
Adventure,0.01238457,2018
Fantasy,0.01238457,2018
Adventure,2.8411113232323233,2015
Animation,2.8411113232323233,2015
Comedy,2.8411113232323233,2015
Horror,2.2245698762886597,2017
Sci-Fi,2.2245698762886597,2017
Thriller,2.2245698762886597,2017
Adventure,9.958810315789474,2012
Animation,9.958810315789474,2012
Comedy,9.958810315789474,2012
Comedy,3.1055628421052632,2010
Drama,3.1055628421052632,2010
Romance,3.1055628421052632,2010
Comedy,1.0191104421052632,2012
Action,1.6029880315789473,2010
Thriller,1.6029880315789473,2010
Action,5.965014892473119,2011
Drama,5.965014892473119,2011
Sci-Fi,5.965014892473119,2011
Action,3.039113,2013
Thriller,3.039113,2013
Adventure,1.704373857142857,2013
Comedy,1.704373857142857,2013
Drama,1.704373857142857,2013
Action,14.211167877777777,2017
Adventure,14.211167877777777,2017
Comedy,14.211167877777777,2017
Adventure,6.012662422222222,2011
Animation,6.012662422222222,2011
Comedy,6.012662422222222,2011
Adventure,2.7267215888888887,2015
Animation,2.7267215888888887,2015
Comedy,2.7267215888888887,2015
Action,2.5867532222222223,2015
Comedy,2.5867532222222223,2015
Sci-Fi,2.5867532222222223,2015
Adventure,1.9935456444444444,2013
Family,1.9935456444444444,2013
Fantasy,1.9935456444444444,2013
Action,3.371117188888889,2016
Adventure,3.371117188888889,2016
Comedy,3.371117188888889,2016
Action,2.6858700444444445,2018
Adventure,2.6858700444444445,2018
Fantasy,2.6858700444444445,2018
Action,-0.7704280555555556,2010
Family,-0.7704280555555556,2010
Fantasy,-0.7704280555555556,2010
Action,4.023092470588235,2014
Adventure,4.023092470588235,2014
Mystery,4.023092470588235,2014
Animation,5.197868941176471,2012
Comedy,5.197868941176471,2012
Family,5.197868941176471,2012
Action,2.9379269647058823,2012
Adventure,2.9379269647058823,2012
Crime,2.9379269647058823,2012
Action,1.6878766588235294,2011
Comedy,1.6878766588235294,2011
Crime,1.6878766588235294,2011
Adventure,1.8064546941176471,2012
Comedy,1.8064546941176471,2012
Drama,1.8064546941176471,2012
Adventure,1.3079952117647058,2011
Animation,1.3079952117647058,2011
Comedy,1.3079952117647058,2011
Action,0.8424957176470588,2010
Comedy,0.8424957176470588,2010
Family,0.8424957176470588,2010
Biography,5.678639571428572,2017
Drama,5.678639571428572,2017
Musical,5.678639571428572,2017
Action,3.528496317073171,2010
Adventure,3.528496317073171,2010
Thriller,3.528496317073171,2010
Action,12.5741758875,2012
Adventure,12.5741758875,2012
Sci-Fi,12.5741758875,2012
Comedy,9.511607625,2011
Mystery,9.511607625,2011
Animation,6.9900051,2015
Comedy,6.9900051,2015
Family,6.9900051,2015
Comedy,3.7586541625,2013
Adventure,5.0274489,2011
Animation,5.0274489,2011
Comedy,5.0274489,2011
Mystery,4.34343395,2010
Thriller,4.34343395,2010
Adventure,2.8127587625,2010
Animation,2.8127587625,2010
Comedy,2.8127587625,2010
Action,2.16982345,2010
Adventure,2.16982345,2010
Drama,2.16982345,2010
Adventure,2.71164225,2018
Animation,2.71164225,2018
Comedy,2.71164225,2018
Comedy,2.1395798875,2011
Family,2.1395798875,2011
Romance,2.1395798875,2011
Action,0.97733215,2015
Adventure,0.97733215,2015
Fantasy,0.97733215,2015
Action,0.645475825,2014
Adventure,0.645475825,2014
Drama,0.645475825,2014
Action,4.3418538227848105,2012
Adventure,4.3418538227848105,2012
Comedy,4.3418538227848105,2012
Comedy,1.8440173924050633,2011
Adventure,4.053669435897436,2013
Animation,4.053669435897436,2013
Comedy,4.053669435897436,2013
Action,2.799188233766234,2018
Crime,2.799188233766234,2018
Thriller,2.799188233766234,2018
Adventure,16.67476605263158,2013
Animation,16.67476605263158,2013
Comedy,16.67476605263158,2013
Adventure,15.73513152,2016
Animation,15.73513152,2016
Comedy,15.73513152,2016
Animation,11.063784453333334,2016
Comedy,11.063784453333334,2016
Family,11.063784453333334,2016
Adventure,16.324694,2017
Animation,16.324694,2017
Comedy,16.324694,2017
Comedy,4.789661546666666,2010
Crime,5.139909186666666,2013
Mystery,5.139909186666666,2013
Thriller,5.139909186666666,2013
Action,2.93421936,2011
Drama,2.93421936,2011
Fantasy,2.93421936,2011
Action,0.9017694933333333,2010
Comedy,0.9017694933333333,2010
Romance,0.9017694933333333,2010
Action,0.68201188,2011
Adventure,0.68201188,2011
Fantasy,0.68201188,2011
Action,2.384839213333333,2016
Adventure,2.384839213333333,2016
Crime,2.384839213333333,2016
Adventure,19.221377608108106,2015
Animation,19.221377608108106,2015
Comedy,19.221377608108106,2015
Adventure,5.405502878378378,2015
Animation,5.405502878378378,2015
Comedy,5.405502878378378,2015
Action,2.8829502857142857,2013
Thriller,2.8829502857142857,2013
Drama,2.381412685714286,2011
History,2.381412685714286,2011
War,2.381412685714286,2011
Comedy,2.3819195428571427,2014
Drama,2.3819195428571427,2014
History,2.3819195428571427,2014
Adventure,2.6576101285714286,2016
Animation,2.6576101285714286,2016
Comedy,2.6576101285714286,2016
Action,2.9461943285714285,2014
Drama,2.9461943285714285,2014
Fantasy,2.9461943285714285,2014
Comedy,0.7003165,2011
Drama,0.7003165,2011
Comedy,0.4221506428571429,2012
Drama,0.4221506428571429,2012
Musical,0.4221506428571429,2012
Action,0.0974617,2016
Drama,0.0974617,2016
History,0.0974617,2016
Action,0.8410275714285714,2013
Crime,0.8410275714285714,2013
Mystery,0.8410275714285714,2013
Action,0.2933433142857143,2011
Crime,0.2933433142857143,2011
Thriller,0.2933433142857143,2011
Action,0.1114551,2014
Adventure,0.1114551,2014
Fantasy,0.1114551,2014
Action,-0.6047002285714286,2015
Crime,-0.6047002285714286,2015
Thriller,-0.6047002285714286,2015
Animation,10.521428376811594,2010
Comedy,10.521428376811594,2010
Family,10.521428376811594,2010
Comedy,1.3162730289855074,2010
Action,1.7945850144927535,2018
Drama,1.7945850144927535,2018
Thriller,1.7945850144927535,2018
Adventure,13.803449691176471,2010
Drama,13.803449691176471,2010
Fantasy,13.803449691176471,2010
Comedy,3.3925077647058823,2015
Comedy,0.9446207205882353,2011
Romance,0.9446207205882353,2011
Drama,0.16048125,2017
Sci-Fi,0.16048125,2017
Action,1.592723985185185,2012
Fantasy,1.592723985185185,2012
Horror,1.592723985185185,2012
Action,2.602092818181818,2014
Crime,2.602092818181818,2014
Thriller,2.602092818181818,2014
Biography,6.008526984615385,2012
Drama,6.008526984615385,2012
History,6.008526984615385,2012
Adventure,9.685846984615385,2018
Animation,9.685846984615385,2018
Comedy,9.685846984615385,2018
Biography,3.2948572153846154,2014
Drama,3.2948572153846154,2014
Sport,3.2948572153846154,2014
Adventure,3.8042782461538462,2010
Comedy,3.8042782461538462,2010
Comedy,2.6892172153846152,2012
Action,2.257466892307692,2012
Comedy,2.257466892307692,2012
Romance,2.257466892307692,2012
Action,3.353740923076923,2012
Horror,3.353740923076923,2012
Sci-Fi,3.353740923076923,2012
Action,0.4407781538461538,2014
Fantasy,0.4407781538461538,2014
Horror,0.4407781538461538,2014
Adventure,3.71020473015873,2011
Animation,3.71020473015873,2011
Comedy,3.71020473015873,2011
Action,0.6596795873015873,2017
Thriller,0.6596795873015873,2017
Crime,2.257779064516129,2015
Drama,2.257779064516129,2015
Mystery,2.257779064516129,2015
Drama,7.792366852459017,2014
Mystery,7.792366852459017,2014
Thriller,7.792366852459017,2014
Action,5.4305467868852455,2015
Sci-Fi,5.4305467868852455,2015
Thriller,5.4305467868852455,2015
Action,2.4115651639344264,2013
Comedy,2.4115651639344264,2013
Crime,2.4115651639344264,2013
Action,4.310016049180327,2018
Sci-Fi,4.310016049180327,2018
Thriller,4.310016049180327,2018
Biography,5.059909816666667,2016
Drama,5.059909816666667,2016
Drama,3.7862133166666667,2010
Romance,3.7862133166666667,2010
Action,3.9573578666666664,2012
Crime,3.9573578666666664,2012
Thriller,3.9573578666666664,2012
Action,2.55349485,2011
Drama,2.55349485,2011
Thriller,2.55349485,2011
Action,3.29530575,2016
Thriller,3.29530575,2016
Action,2.644059416666667,2016
Thriller,2.644059416666667,2016
Action,2.8987328166666666,2017
Comedy,2.8987328166666666,2017
Crime,2.8987328166666666,2017
Drama,1.6264215166666667,2015
Adventure,1.73537855,2012
Animation,1.73537855,2012
Comedy,1.73537855,2012
Adventure,1.7130592666666666,2014
Animation,1.7130592666666666,2014
Comedy,1.7130592666666666,2014
Action,1.7360475333333334,2017
Adventure,1.7360475333333334,2017
Fantasy,1.7360475333333334,2017
Action,2.0325804,2014
Drama,2.0325804,2014
Thriller,2.0325804,2014
Biography,0.97865755,2018
Comedy,0.97865755,2018
Drama,0.97865755,2018
Action,1.5016967666666667,2013
Crime,1.5016967666666667,2013
Drama,1.5016967666666667,2013
Adventure,3.0433144666666667,2017
Animation,3.0433144666666667,2017
Comedy,3.0433144666666667,2017
Biography,1.5023395,2018
Drama,1.5023395,2018
History,1.5023395,2018
Crime,1.1021057666666667,2010
Drama,1.1021057666666667,2010
Mystery,1.1021057666666667,2010
Drama,0.3930341666666667,2012
Sport,0.3930341666666667,2012
Action,0.7855164666666666,2013
Fantasy,0.7855164666666666,2013
Horror,0.7855164666666666,2013
Action,0.8881775333333334,2011
Adventure,0.8881775333333334,2011
Fantasy,0.8881775333333334,2011
Action,-0.36512886666666666,2015
Comedy,-0.36512886666666666,2015
Crime,-0.36512886666666666,2015
Adventure,1.2164495254237289,2018
Animation,1.2164495254237289,2018
Comedy,1.2164495254237289,2018
Action,19.070625896551725,2016
Adventure,19.070625896551725,2016
Comedy,19.070625896551725,2016
Action,14.473323172413792,2014
Biography,14.473323172413792,2014
Drama,14.473323172413792,2014
Adventure,3.1202548620689656,2015
Comedy,3.1202548620689656,2015
Family,3.1202548620689656,2015
Action,0.7283081896551724,2012
Adventure,0.7283081896551724,2012
Drama,0.7283081896551724,2012
Comedy,1.385267724137931,2013
Action,5.19135227826087,2010
Adventure,5.19135227826087,2010
Horror,5.19135227826087,2010
Comedy,0.6524578086956522,2012
Adventure,5.069729056939502,2014
Comedy,5.069729056939502,2014
Drama,5.069729056939502,2014
Biography,19.205248745454547,2018
Drama,19.205248745454547,2018
Music,19.205248745454547,2018
Drama,8.0151364,2017
Romance,8.0151364,2017
Biography,4.959720018181819,2013
Drama,4.959720018181819,2013
Thriller,4.959720018181819,2013
Action,4.353352036363637,2014
Crime,4.353352036363637,2014
Thriller,4.353352036363637,2014
Drama,7.577425072727273,2018
Romance,7.577425072727273,2018
Thriller,7.577425072727273,2018
Comedy,3.563280672727273,2010
Crime,3.563280672727273,2010
Romance,3.563280672727273,2010
Adventure,2.020682763636364,2013
Animation,2.020682763636364,2013
Comedy,2.020682763636364,2013
Adventure,1.3725671636363637,2014
Comedy,1.3725671636363637,2014
Crime,1.3725671636363637,2014
Action,1.283112909090909,2016
Adventure,1.283112909090909,2016
Animation,1.283112909090909,2016
Drama,1.363515090909091,2010
Music,1.363515090909091,2010
Musical,1.363515090909091,2010
Action,0.8451462727272727,2012
Comedy,0.8451462727272727,2012
Horror,0.8451462727272727,2012
Drama,0.9283122545454545,2015
Fantasy,0.9283122545454545,2015
Horror,0.9283122545454545,2015
Biography,2.045538679245283,2015
Crime,2.045538679245283,2015
Drama,2.045538679245283,2015
Drama,3.387298114285714,2012
Thriller,3.387298114285714,2012
Comedy,5.308749653846154,2010
Romance,5.308749653846154,2010
Comedy,1.1777016346153846,2011
Fantasy,1.1777016346153846,2011
Adventure,1.6563970980392158,2018
Drama,1.6563970980392158,2018
Family,1.6563970980392158,2018
Romance,2.7734456175298803,2011
Sci-Fi,2.7734456175298803,2011
Thriller,2.7734456175298803,2011
Comedy,14.49364734,2012
Fantasy,14.49364734,2012
Action,9.46106426,2014
Comedy,9.46106426,2014
Crime,9.46106426,2014
Action,5.89271352,2016
